11/05/2018 05:53:30 AM - INFO - Symbol: IXP number of records: 1092
11/05/2018 05:53:30 AM - INFO - Symbol: CLO number of records: 1617
11/05/2018 05:53:30 AM - INFO - Symbol: NWH number of records: 2611
11/05/2018 05:53:31 AM - INFO - Symbol: SKN number of records: 115
11/05/2018 05:53:31 AM - INFO - Symbol: EAS number of records: 813
11/05/2018 05:53:31 AM - INFO - Symbol: DJW number of records: 2063
11/05/2018 05:53:31 AM - INFO - Symbol: IAG number of records: 2680
11/05/2018 05:53:32 AM - INFO - Symbol: ALK number of records: 2660
11/05/2018 05:53:32 AM - INFO - Symbol: GTR number of records: 471
11/05/2018 05:53:32 AM - INFO - Symbol: MZM number of records: 1823
11/05/2018 05:53:33 AM - INFO - Symbol: TON number of records: 1665
11/05/2018 05:53:33 AM - INFO - Symbol: MNW number of records: 1753
11/05/2018 05:53:33 AM - INFO - Symbol: DTI number of records: 680
11/05/2018 05:53:33 AM - INFO - Symbol: RSG number of records: 2614
11/05/2018 05:53:34 AM - INFO - Symbol: WRG number of records: 701
11/05/2018 05:53:34 AM - INFO - Symbol: DNK number of records: 2473
11/05/2018 05:53:34 AM - INFO - Symbol: TRS number of records: 2678
11/05/2018 05:53:35 AM - INFO - Symbol: RWC number of records: 447
11/05/2018 05:53:35 AM - INFO - Symbol: RTA number of records: 679
11/05/2018 05:53:35 AM - INFO - Symbol: MTB number of records: 1322
11/05/2018 05:53:36 AM - INFO - Symbol: CMA number of records: 756
11/05/2018 05:53:36 AM - INFO - Symbol: CAF number of records: 1680
11/05/2018 05:53:36 AM - INFO - Symbol: SCG number of records: 1804
11/05/2018 05:53:36 AM - INFO - Symbol: BKM number of records: 89
11/05/2018 05:53:37 AM - INFO - Symbol: RWH number of records: 1265
11/05/2018 05:53:37 AM - INFO - Symbol: BAF number of records: 540
11/05/2018 05:53:37 AM - INFO - Symbol: CNJ number of records: 1320
11/05/2018 05:53:38 AM - INFO - Symbol: AHZ number of records: 1962
11/05/2018 05:53:38 AM - INFO - Symbol: XPD number of records: 542
11/05/2018 05:53:38 AM - INFO - Symbol: WQW number of records: 185
11/05/2018 05:53:38 AM - INFO - Symbol: TRU number of records: 1393
11/05/2018 05:53:39 AM - INFO - Symbol: RBL number of records: 418
11/05/2018 05:53:39 AM - INFO - Symbol: ASW number of records: 1037
11/05/2018 05:53:39 AM - INFO - Symbol: AAI number of records: 234
11/05/2018 05:53:40 AM - INFO - Symbol: OVR number of records: 1637
11/05/2018 05:53:40 AM - INFO - Symbol: HIT number of records: 582
11/05/2018 05:53:40 AM - INFO - Symbol: GNX number of records: 566
11/05/2018 05:53:41 AM - INFO - Symbol: AVL number of records: 2145
11/05/2018 05:53:41 AM - INFO - Symbol: BWD number of records: 908
