"symbol","previousClose","open","dividendYield","dividendPerShare","dividendPayDate","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","1YrTargetPrice","daysValueChange","pricePaid","holdingsGainPercent","annualizedGain","holdingsGain","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","epsEstimateNextYear","epsEstimateNextQuarter","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio","tickerTrend","holdingsValue"
"LVT",0.2,0.19,,,,,-0.02,-0.1,"2017-01-30",0.18,0.19,0.18,,,,,,,0.3,0.1,61590000,,"ASX",212047,-0.04,-0.01,,0,0.03,"0.00",105.52,7.41,,0,,,"0.00",,
"LWP",0.001,0.002,,,,,0,0,"2017-01-30",0.001,0.002,0.001,,,,,,,0.008,0.001,4560000,,"ASX",2007516,-0.002,,,0,0.001,-6800000,,1,,0,,,"0.000",,
"LYC",0.087,0.088,,,,,-0.001,-0.01149,"2017-01-30",0.083,0.088,0.086,,,,,,,0.097,0.048,300010000,,"ASX",14991184,-0.027,-0.03,,0,0.02,-43700000,1.589,4.35,,0,,,"0.000",,
"M7T",0.33,0.34,,,,,0,0,"2017-01-30",0.33,0.34,0.33,,,,,,,0.8,0.31,31020000,,"ASX",18314,-0.28,,,0,0.25,-4900000,16.68,1.32,,0,,,"0.00",,
"MAH",0.15,0.15,0,0,,"9/6/2012",0,0,"2017-01-30",0.15,0.16,0.15,,,,,,,0.16,0.09,179370000,,"ASX",16656163,0,0.01,,0,0.17,25470000,0.52,0.87,150,-1.01,15,,"0.00",,
"MAI",0.6,0.595,,,,,-0.005,-0.008329999999999999,"2017-01-30",0.595,0.595,0.595,,,,,,,0.77,0.55,50180000,,"ASX",4060,0.013,0.03,,0,0.129,1750000,2.824,4.651,45.769,0,19.833,19.833,"0.000",,
"MAR",0.002,0.003,,,,,0.001,0.5,"2017-01-30",0.003,0.003,0.003,,,,,,,0.006,0.002,3400000,,"ASX",1000000,-0.001,,,0,0.008,-1060000,978.337,0.25,,0,,,"0.000",,
"MAT",0.17,0.18,,,,,0.01,0.0286,"2017-01-30",0.17,0.18,0.18,,,,,,,0.32,0.12,25950000,,"ASX",204138,-0.01,,,0,0.09,"-968052.00",,1.86,,0,,,"0.00",,
"MAU",0.05,0.051,,,,,0.001,0.02,"2017-01-30",0.051,0.051,0.051,,,,,,,0.14,0.035,7220000,,"ASX",2222,-0.013,,,0,0.005,-1260000,25734.182,10,,0,,,"0.000",,
"MAY",0.022,0.022,,,,,0.001,0.04545,"2017-01-30",0.021,0.023,0.023,,,,,,,0.023,0.021,,,"ASX",918268,-0.013,,,0,0,"0.00",,,,0,,,"0.000",,
"MBE",0.16,0.16,,,,,0,-0.0323,"2017-01-30",0.15,0.16,0.15,,,,,,,0.4,0.11,65440000,,"ASX",384744,0.01,0.02,,0,0.09,7710000,1.12,1.68,13.64,0,,,"0.00",,
"MBK",0.03,0.03,,,,,0,0,"2017-01-30",0.03,0.03,0.03,,,,,,,0.04,0,15290000,,"ASX",657501,0,,,0,0.01,"-484156.00",5115.82,5,,0,,,"0.00",,
"MCE",0.45,0.46,,,,"9/14/2015",0.01,0.0222,"2017-01-30",0.46,0.46,0.46,,,,,,,0.59,0.32,43130000,,"ASX",65963,-0.02,0,,0,1.42,6900000,0.44,0.32,,0,,15.33,"0.00",,
"MCP",1.03,1.04,,,,"10/20/2016",0,0.0048,"2017-01-30",1.03,1.04,1.04,,,,,,,1.25,0.66,107450000,,"ASX",26872,0.11,0.14,,0,1.01,20780000,0.34,1.02,9.37,-25.48,7.43,6.5,"0.00",,
"MCR",0.26,0.26,0,0,,"2/19/2015",-0.01,-0.056600000000000004,"2017-01-30",0.25,0.26,0.25,,,,,,,0.48,0.12,47210000,,"ASX",169544,-0.22,-0.04,,0,0.13,-11990000,2.7,2.07,,0,,,"0.00",,
"MCT",0.065,0.065,,,,,-0.004,-0.06154,"2017-01-30",0.061,0.065,0.061,,,,,,,0.102,0.044,27450000,,"ASX",1402290,-0.008,,,0,0.007,-2580000,3728.854,9.286,,0,,,"0.000",,
"MCX",0.07,0.07,,,,"9/10/2012",0,0,"2017-01-30",0.07,0.07,0.07,,,,,,,0.08,0.04,"961660.00",,"ASX",453,-0.02,,,0,-0.21,"0.00",2.31,,,0,,,"0.00",,
"MCY",2.97,2.96,,,,"9/13/2016",-0.01,-0.0034000000000000002,"2017-01-30",2.96,2.96,2.96,,,,,,,3.24,2.3,4070000000.0000005,,"ASX",6751,0.08,,,0,1.75,348160000,3.6,1.7,35.24,0,,,"0.00",,
"MDC",0.79,0.8,,,,,0.005,0.00633,"2017-01-30",0.79,0.8,0.795,,,,,,,0.9,0.18,127860000,,"ASX",16132,-0.022,0,,0,0.016,-3580000,48.494,49.375,,0,,79.5,"0.000",,
"MDG",0.07,0.07,,,,,-0.023,-0.32857,"2017-01-30",0.047,0.07,0.047,,,,,,,0.145,0.047,4710000,,"ASX",132000,-0.022,,,0,0.009,"-58476.00",0.333,7.778,,0,,,"0.000",,
"MDL",0.52,0.52,,,,,0.01,0.0192,"2017-01-30",0.51,0.53,0.53,,,,,,,0.62,0.19,54950000,,"ASX",95252,-0.41,-0.06,,0,2.47,-50010000,,0.21,,0.32,,13.25,"0.00",,
"MDR",0.037,0.036,,,,,-0.002,-0.05405,"2017-01-30",0.035,0.036,0.035,,,,,,,0.052,0.026,24040000,,"ASX",498991,-0.005,,,0,0.004,-2880000,17.828,9.25,,0,,,"0.000",,
"MEA",0.75,0.75,,,,"9/13/2016",-0.005,-0.006670000000000001,"2017-01-30",0.745,0.75,0.745,,,,,,,1.76,0.71,99940000,,"ASX",216625,0.082,0.09,,0,0.718,18150000,0.832,1.045,9.085,0,8.278,6.773,"0.000",,
"MEB",0.38,0.38,,,,,0,0,"2017-01-30",0.38,0.38,0.38,,,,,,,0.52,0.19,40400000,,"ASX",3947,-0.06,,,0,0.08,-4300000,2183.66,4.69,,0,,,"0.00",,
"MED",0.021,0.021,,,,,-0.002,-0.09523999999999999,"2017-01-30",0.019,0.021,0.019,,,,,,,0.035,0.012,8570000,,"ASX",7693832,-0.01,,,0,0.015,-1880000,11.97,1.4,,0,,,"0.000",,
"MEI",0.011,0.011,,,,,0.001,0.09090999999999999,"2017-01-30",0.011,0.012,0.012,,,,,,,0.037,0.009,2440000,,"ASX",500000,-0.005,,,0,0.001,"-945272.00",137.894,11,,0,,,"0.000",,
"MEL",0.043,0.045,,,,,0.002,0.046509999999999996,"2017-01-30",0.045,0.045,0.045,,,,,,,0.07,0.04,18050000,,"ASX",51150,0.053,0,,0,0.072,-1960000,24.326,0.597,0.849,0,,,"0.000",,
"MEM",0.003,0.003,,,,,0,0,"2017-01-30",0.003,0.003,0.003,,,,,,,0.014,0.003,1710000,,"ASX",174124,-0.007,,,0,0.003,-1340000,26.7,1,,0,,,"0.000",,
"MEP",0.076,0.076,,,,,0,0,"2017-01-30",0.076,0.076,0.076,,,,,,,0.135,0.05,16140000,,"ASX",233367,-0.056,0,,0,0.067,"-849987.00",47.135,1.134,,0,,,"0.000",,
"MEZ",2.63,2.66,,,,"9/29/2016",0.06,0.022799999999999997,"2017-01-30",2.66,2.69,2.69,,,,,,,3,2.05,6890000000,,"ASX",9048,0.05,,,0,1.43,446810000,3.91,1.84,51.73,0,,,"0.00",,
"MFD",1.09,1.08,,,,,-0.01,-0.0092,"2017-01-30",1.07,1.08,1.08,,,,,,,1.08,1.07,32400000,,"ASX",115500,0.03,,,0,0.71,1310000,1.44,1.54,40,0,,,"0.00",,
"MFF",1.85,1.85,,,,,-0.02,-0.0108,"2017-01-30",1.83,1.85,1.83,,,,,,,1.96,1.59,,,"ASX",243037,-0.02,,,0,0,"0.00",,,,0,,,"0.00",,
"MFG",23.71,23.71,,,,"8/17/2016",-0.27,-0.011399999999999999,"2017-01-30",23.3,23.76,23.44,,,,,,,26.05,19.72,3790000000,,"ASX",497860,1.15,1.12,,0,2.2,261640000,11.48,10.75,20.29,1.59,20.93,17.49,"0.00",,
"MGC",0.99,0.99,,,,"9/5/2016",-0.03,-0.0254,"2017-01-30",0.96,0.99,0.96,,,,,,,2.52,0.82,196630000,,"ASX",257222,0.2,0.06,,0,5.74,117100000,0.07,0.17,4.85,1.3,16,10.67,"0.00",,
"MGE",2.64,2.64,,,,,0,0,"2017-01-30",2.62,2.65,2.64,,,,,,,2.72,2.39,,,"ASX",801912,,,,0,0,,,,,0,,,,,
"MGP",0.34,0.34,,,,"11/11/2016",0,-0.014499999999999999,"2017-01-30",0.34,0.34,0.34,,,,,,,0.45,0.25,46020000,,"ASX",34626,0,0.01,,0,0.05,"987590.00",8.49,6.39,68,0,34,34,"0.00",,
"MGR",2.04,2.03,,,,"6/29/2016",-0.03,-0.0147,"2017-01-30",2,2.04,2.01,,,,,,,2.34,1.78,7440000000,,"ASX",5780368,0.28,0.14,,0,1.94,708000000,3.1,1.05,7.2,3.29,14.36,13.4,"0.00",,
"MGT",0.055,0.055,,,,,0,0,"2017-01-30",0.055,0.056,0.055,,,,,,,0.08,0.015,24110000,,"ASX",271735,-0.005,,,0,0.016,-1760000,,3.437,,0,,,"0.000",,
"MGU",0.03,0.03,,,,,0,0,"2017-01-30",0.03,0.03,0.03,,,,,,,0.06,0.02,5840000,,"ASX",32000,0,,,0,0.01,-1190000,16036.73,3,,0,,,"0.00",,
"MGV",0.074,0.074,,,,,-0.002,-0.02703,"2017-01-30",0.07,0.074,0.072,,,,,,,0.13,0.016,12960000,,"ASX",867208,-0.05,,,0,0.063,"-504226.00",174.182,1.175,,0,,,"0.000",,
"MGX",0.38,0.385,,,,"9/26/2014",-0.005,-0.01316,"2017-01-30",0.375,0.385,0.375,,,,,,,0.4,0.17,409230000,,"ASX",840793,0.079,0.02,,0,0.359,8930000,1.763,1.058,4.747,-0.1,18.75,37.5,"0.000",,
"MHG",2.59,2.58,,,,,-0.01,-0.0039000000000000003,"2017-01-30",2.58,2.58,2.58,,,,,,,2.58,2.2,,,"ASX",402157,,,,0,0,,,,,0,,,,,
"MHI",0.185,0.185,,,,"1/20/2016",0,0,"2017-01-30",0.185,0.185,0.185,,,,,,,0.21,0.16,17440000,,"ASX",15000,0.039,,,0,0.53,4860000,0.215,0.349,4.744,0,,,"0.000",,
"MHJ",1.35,1.32,,,,"9/7/2016",-0.09,-0.0632,"2017-01-30",1.25,1.35,1.26,,,,,,,1.83,1.15,,,"ASX",86271,0.05,0.09,,0,0,"0.00",,,,0.81,14,12.6,"0.00",,
"MIG",0.05,0.05,,,,,0,-0.0385,"2017-01-30",0.05,0.05,0.05,,,,,,,0.88,0.05,14630000,,"ASX",480000,-0.1,-0.04,,0,0.01,-24490000,0.63,8.67,,0,,2.5,"0.00",,
"MIL",1.51,1.55,,,,"9/13/2016",0.06,0.0397,"2017-01-30",1.55,1.57,1.57,,,,,,,2.32,1,72110000,,"ASX",60000,0.02,0.17,,0,0.27,13030000,0.44,5.55,65.42,0,9.24,8.26,"0.00",,
"MIN",12.48,12.21,3.37,0.31,,"8/31/2016",-0.08,-0.0064,"2017-01-30",12.16,12.45,12.4,,,,,,,13.51,3.63,2320000000,,"ASX",750140,-0.13,0.91,,0,5.3,281450000,1.96,2.36,,-2.38,13.63,12.78,"0.00",,
"MIR",2.89,2.89,,,,,-0.06,-0.0208,"2017-01-30",2.83,2.89,2.83,,,,,,,3.12,2.5,442240000,,"ASX",100532,0.05,,,0,2.13,"0.00",44.02,1.35,56.6,0,,,"0.00",,
"MJP",0.22,0.24,,,,,0.005,0.02273,"2017-01-30",0.225,0.245,0.225,,,,,,,0.68,0.225,89290000,,"ASX",66842,0.019,,,0,0.064,-7940000,2439.102,3.437,11.842,0,,,"0.000",,
"MLB",1.93,1.91,0,0,,"9/8/2016",0,0,"2017-01-30",1.9,1.93,1.93,,,,,,,2.2,1.65,194400000,,"ASX",39421,0.07,0.1,,0,1.39,20750000,1.17,1.38,27.97,4.33,19.3,12.06,"0.00",,
"MLD",1.63,1.64,,,,"9/2/2016",0.06,0.0336,"2017-01-30",1.62,1.71,1.69,,,,,,,1.95,0.69,393550000,,"ASX",191866,0.1,0.13,,0,1.1,93950000,0.88,1.49,16.25,-0.67,13,8.89,"0.00",,
"MLM",0.066,0.066,,,,,-0.003,-0.04545,"2017-01-30",0.063,0.066,0.063,,,,,,,0.071,0.025,14320000,,"ASX",751703,-0.032,-0.61,,0,0.022,-2270000,46.366,3,,0,,,"0.000",,
"MLS",0.011,0.011,,,,,0.002,0.18181999999999998,"2017-01-30",0.011,0.013,0.013,,,,,,,0.016,0.001,10660000,,"ASX",25068869,0,,,0,0.007,"-141900.00",,1.571,,0,,,"0.000",,
"MLT",4.46,4.48,,,,,0,0,"2017-01-30",4.45,4.49,4.46,,,,,,,4.57,4.13,2900000000,,"ASX",137597,0.19,0.08,,0,3.97,123940000,22.77,1.12,24.11,0,,,"0.00",,
"MLX",0.81,0.82,0,0,,"8/31/2015",0.01,0.018600000000000002,"2017-01-30",0.81,0.83,0.82,,,,,,,1.93,0.52,393340000,,"ASX",1951593,-0.05,0.06,,0,0.82,60390000,1.1,0.98,,0,13.67,6.83,"0.00",,
"MMI",0.155,0.155,,,,,0.01,0.06452,"2017-01-30",0.155,0.165,0.165,,,,,,,0.165,0.045,69390000,,"ASX",855282,-0.018,-0.01,,0,0.039,-3280000,465.632,3.974,,0,,,"0.000",,
"MMJ",0.2,0.2,,,,,0.015,0.075,"2017-01-30",0.2,0.24,0.215,,,,,,,0.36,0.175,25930000,,"ASX",7648562,-0.107,0.03,,0,0.113,-6360000,94.574,1.77,,0,,,"0.000",,
"MML",0.41,0.41,0,0,,"9/10/2012",0,-0.0123,"2017-01-30",0.39,0.41,0.4,,,,,,,0.92,0.37,83120000,,"ASX",962292,0.21,0.2,,0,1.13,69370000,0.66,0.36,1.93,-0.32,2,1.6,"0.00",,
"MMR",0.024,0.024,,,,,0,0,"2017-01-30",0.024,0.024,0.024,,,,,,,0.057,0.012,4800000,,"ASX",150000,-0.006,,,0,0.081,-1330000,200.167,0.296,,0,,,"0.000",,
"MMS",10.98,10.94,,,,"3/31/2016",-0.19,-0.0173,"2017-01-30",10.76,11.04,10.79,,,,,,,15.54,9.6,897660000,,"ASX",140550,0.99,1.03,,0,4.45,222070000,1.81,2.47,10.9,2.23,10.48,9.9,"0.00",,
"MNC",0.077,0.077,,,,,0,0,"2017-01-30",0.077,0.077,0.077,,,,,,,0.3,0.002,5970000,,"ASX",12977,-0.81,-0.19,,0,2.186,-4890000,1343.923,0.035,,0,,,"0.000",,
"MND",10.82,10.8,,,,"3/8/2016",-0.17,-0.015700000000000002,"2017-01-30",10.61,10.8,10.65,,,,,,,11.92,5.62,997940000,,"ASX",135896,0.72,0.59,,0,3.94,113020000,0.74,2.75,14.83,-1.48,18.05,19.36,"0.00",,
"MNE",0.02,0.02,,,,,0,0.0526,"2017-01-30",0.02,0.02,0.02,,,,,,,0.4,0.01,2710000,,"ASX",560700,-0.01,,,0,0.02,-1020000,,1.06,,0,,,"0.00",,
"MNF",4.57,4.56,,,,"9/2/2016",-0.02,-0.0044,"2017-01-30",4.55,4.61,4.55,,,,,,,5.03,3.2,307140000,,"ASX",14124,0.13,0.19,,0,0.58,16370000.000000002,1.91,7.91,33.96,0,23.95,19.78,"0.00",,
"MNS",0.8,0.81,,,,,-0.04,-0.05,"2017-01-30",0.75,0.81,0.76,,,,,,,1.12,0.28,325730000,,"ASX",2437705,-0.03,-0.02,,0,0.02,-13450000,39225.72,50,,0,,,"0.00",,
"MNW",0.08,0.082,,,,,0.003,0.0375,"2017-01-30",0.081,0.085,0.083,,,,,,,0.13,0.054,47170000,,"ASX",1032440,-0.013,-0.01,,0,-0.002,-5280000,9.093,,,0,,,"0.000",,
"MNY",1.665,1.66,,,,"3/17/2016",0.02,0.01201,"2017-01-30",1.66,1.69,1.685,,,,,,,1.95,0.865,256930000,,"ASX",111422,0.121,0.16,,0,1.026,37780000,2.627,1.623,13.926,0,10.531,8.868,"0.000",,
"MOC",2.45,2.48,,,,"8/31/2016",-0.04,-0.0163,"2017-01-30",2.41,2.48,2.41,,,,,,,2.49,1.63,297810000,,"ASX",114398,0.16,0.17,,0,0.83,27930000,1.56,2.96,15.35,6.5,14.18,13.39,"0.00",,
"MOD",0.04,0.04,,,,,-0.001,-0.025,"2017-01-30",0.039,0.04,0.039,,,,,,,0.062,0.003,50040000,,"ASX",1296306,-0.002,,,0,0.008,-1100000,,5,,0,,,"0.000",,
"MOT",0.035,0.035,,,,,0,0,"2017-01-30",0.035,0.035,0.035,,,,,,,0.1,0.028,2290000,,"ASX",100000,-0.032,,,0,0.004,-1310000,381.255,8.75,,0,,,"0.000",,
"MOX",0.01,0.01,,,,,0,0.11109999999999999,"2017-01-30",0.01,0.01,0.01,,,,,,,0.03,0.01,3040000,,"ASX",1025000,0,,,0,0,"-430694.00",55.62,4.5,,0,,,"0.00",,
"MOY",0.275,0.28,,,,,0.01,0.03636,"2017-01-30",0.28,0.295,0.285,,,,,,,0.415,0.046,215660000,,"ASX",1018627,0.054,0.04,,0,0.083,49740000,1.37,3.313,5.278,0,7.125,5.7,"0.000",,
"MP1",2.48,2.5,,,,,-0.08,-0.0323,"2017-01-30",2.33,2.5,2.4,,,,,,,3.8,1.55,168000000,,"ASX",68738,-0.39,,,0,0.25,-20870000,59.39,10.12,,0,,,"0.00",,
"MPE",0.001,0.001,,,,,0,0,"2017-01-30",0.001,0.001,0.001,,,,,,,0.003,0.001,"882375.00",,"ASX",500000,-0.008,,,0,0.003,"-673590.00",,0.333,,0,,,"0.000",,
"MPL",2.72,2.7,,,,"9/6/2016",-0.03,-0.011000000000000001,"2017-01-30",2.68,2.71,2.69,,,,,,,3.32,2.36,7410000000,,"ASX",2604630,0.15,,,0,0.57,572800000,1.1,4.75,17.7,0,,,"0.00",,
"MPO",0.14,0.14,,,,,0,0.037000000000000005,"2017-01-30",0.14,0.14,0.14,,,,,,,0.17,0.12,34870000,,"ASX",134469,0,0.02,,0,0.24,"0.00",,0.57,35,0,,,"0.00",,
"MQA",5.02,4.99,3.8,0.14,,"9/21/2016",-0.04,-0.008,"2017-01-30",4.92,5.16,4.98,,,,,,,6,4.05,2580000000,,"ASX",1895216,0.19,0.15,,0,1.66,"0.00",652.54,3.02,26.07,1.1,33.2,20.75,"0.00",,
"MQG",85.77,85.49,5.43,3.4,,"11/8/2016",-1.28,-0.0149,"2017-01-30",84.1,85.92,84.49,,,,,,,89.49,58.28,27080000000,,"ASX",579820,5.95,6.16,,0,46.55,"0.00",2.7,1.84,14.2,2.43,13.72,13.2,"0.00",,
"MRD",0.008,0.008,,,,,0,0,"2017-01-30",0.008,0.008,0.008,,,,,,,0.026,0.006,8470000,,"ASX",3112400,-0.002,,,0,0.002,-2860000,457.646,4,,0,,,"0.000",,
"MRG",1.25,1.25,,,,,0.01,0.008,"2017-01-30",1.25,1.27,1.26,,,,,,,1.37,1.25,109730000,,"ASX",58361,0.03,,,0,0.34,7200000,7.83,3.65,42,0,,,"0.00",,
"MRM",0.285,0.285,0,0,,"9/4/2015",0,0,"2017-01-30",0.285,0.29,0.285,,,,,,,0.51,0.265,106330000,,"ASX",70387,-0.386,-0.12,,0,1.7,74550000,0.221,0.168,,0.23,,,"0.000",,
"MRP",0.085,0.085,,,,,0.004,0.047060000000000005,"2017-01-30",0.083,0.09,0.089,,,,,,,0.125,0.071,28230000,,"ASX",141329,-0.021,,,0,0.082,-2820000,182.962,1.037,,0,,,"0.000",,
"MRQ",0.016,0.016,,,,,0.001,0.0625,"2017-01-30",0.016,0.017,0.017,,,,,,,0.055,0.004,2310000,,"ASX",3278037,-0.012,,,0,0.026,"-618282.00",584.22,0.615,,0,,,"0.000",,
"MRV",0.004,0.004,,,,,0,0,"2017-01-30",0.004,0.004,0.004,,,,,,,0.006,0.003,7320000,,"ASX",200000,-0.001,,,0,0.006,-1530000,86.009,0.667,,0,,,"0.000",,
"MSB",1.61,1.62,,,,,0.01,0.0062,"2017-01-30",1.6,1.63,1.62,,,,,,,3.03,1.01,612070000,,"ASX",226638,-0.03,-0.22,,0,1.35,-61030000,17.17,1.19,,21.38,,,"0.00",,
"MSG",0.027,0.027,,,,,-0.001,-0.037040000000000003,"2017-01-30",0.026,0.027,0.026,,,,,,,0.067,0.021,5240000,,"ASX",217685,-0.044,,,0,0.009,-1220000,0.46,3,,0,,,"0.000",,
"MSM",0.22,0.23,,,,,0,0,"2017-01-30",0.22,0.23,0.22,,,,,,,0.4,0.08,66950000,,"ASX",120655,-0.05,,,0,0.01,"0.00",,14.67,,0,,,"0.00",,
"MSP",0.029,0.026,,,,,-0.003,-0.10345,"2017-01-30",0.026,0.026,0.026,,,,,,,0.043,0.016,10670000,,"ASX",40304,-0.003,,,0,0.022,-1360000,2.713,1.318,,0,,,"0.000",,
"MSR",0.004,0.005,,,,,0.001,0.25,"2017-01-30",0.005,0.006,0.005,,,,,,,0.006,0.001,10610000,,"ASX",87453666,-0.019,,,0,0.006,-1800000,282.946,0.667,,0,,,"0.000",,
"MSV",0.034,0.034,,,,"3/30/2012",0,0,"2017-01-30",0.033,0.034,0.034,,,,,,,0.046,0.013,50200000,,"ASX",829009,-0.004,0,,0,0.013,"553677.00",1.523,2.615,,0,,,"0.000",,
"MTB",0.011,0.012,,,,,0,0,"2017-01-30",0.011,0.012,0.011,,,,,,,0.023,0.005,2020000,,"ASX",1075155,-0.002,,,0,-0.017,"-264896.00",10566.737,,,0,,,"0.000",,
"MTH",0.005,0.005,,,,,0,0,"2017-01-30",0.005,0.005,0.005,,,,,,,0.02,0.004,2830000,,"ASX",9604341,-0.006,,,0,0.003,"-452069.00",63.412,1.667,,0,,,"0.000",,
"MTL",0.023,0.024,,,,,0.001,0.04348,"2017-01-30",0.024,0.024,0.024,,,,,,,0.085,0.023,4000000,,"ASX",10000,-0.027,,,0,0.019,-3340000,32.481,1.211,,0,,,"0.000",,
"MTM",0.25,0.25,,,,,0,0,"2017-01-30",0.25,0.25,0.25,,,,,,,0.35,0.22,33710000,,"ASX",12000,-0.03,,,0,0.17,-3130000,2.07,1.45,,0,,,"0.00",,
"MTO",3.91,4.07,,,,,0.16,0.0409,"2017-01-30",3.95,4.09,4.07,,,,,,,4.38,2.5,154460000,,"ASX",7610,0.19,0.23,,0,0.93,10890000,0.75,4.22,21.76,0.81,17.7,16.28,"0.00",,
"MTR",2.71,2.72,,,,"8/25/2016",-0.02,-0.0074,"2017-01-30",2.69,2.74,2.69,,,,,,,4.95,2.69,798260000,,"ASX",2170001,0.14,0.18,,0,1.56,89820000,1.33,1.74,19.64,2.24,14.94,13.45,"0.00",,
"MTS",2.16,2.13,0,0,,"12/4/2014",-0.03,-0.0139,"2017-01-30",2.12,2.15,2.13,,,,,,,2.38,1.55,1990000000,,"ASX",1829894,0.18,0.19,,0,1.63,190000000,0.15,1.32,11.77,3.98,11.21,10.14,"0.00",,
"MUA",0.81,0.81,,,,,-0.005,-0.00617,"2017-01-30",0.8,0.81,0.805,,,,,,,1.25,0.77,168100000,,"ASX",93545,0.026,0.05,,0,0.181,11050000,6.697,4.475,30.962,0,16.1,11.5,"0.000",,
"MUS",0.067,0.068,,,,,-0.006,-0.08955,"2017-01-30",0.061,0.07,0.061,,,,,,,0.12,0.02,19750000,,"ASX",31508727,-0.082,,,0,0.092,-3860000,,0.728,,0,,,"0.000",,
"MVA",19.4,19.4,,,,,-0.13,-0.0067,"2017-01-30",19.27,19.4,19.27,,,,,,,22.98,18.24,,,"ASX",1469,,,,0,0,,,,,0,,,,,
"MVB",27.44,27.51,,,,,-0.08,-0.0029,"2017-01-30",27.2,27.51,27.36,,,,,,,28.87,21.72,,,"ASX",16659,,,,0,0,,,,,0,,,,,
"MVE",23.85,23.7,,,,,-0.15,-0.0063,"2017-01-30",23.7,23.7,23.7,,,,,,,24.54,7.67,,,"ASX",918,,,,0,0,,,,,0,,,,,
"MVF",1.88,1.855,,,,"9/6/2016",-0.035,-0.01862,"2017-01-30",1.84,1.885,1.845,,,,,,,2.55,1.415,434300000,,"ASX",326677,0.122,0.13,,0,0.658,49080000,2.827,2.857,15.123,1.65,14.192,13.179,"0.000",,
"MVP",5.1,5.05,,,,"9/1/2016",0.08,0.015700000000000002,"2017-01-30",5.03,5.18,5.18,,,,,,,6.85,3.65,300230000,,"ASX",23163,0.03,0.07,,0,0.33,3940000,19.11,15.55,191.85,0,74,43.17,"0.00",,
"MVR",20.8,20.72,,,,,-0.08,-0.0038,"2017-01-30",20.72,20.72,20.72,,,,,,,20.94,12.91,,,"ASX",172,,,,0,0,,,,,0,,,,,
"MVS",17.47,17.5,,,,,-0.04,-0.0023,"2017-01-30",17.39,17.5,17.43,,,,,,,18.59,14.6,,,"ASX",59080,,,,0,0,,,,,0,,,,,
"MVT",0.17,0.17,,,,,-0.005,-0.02941,"2017-01-30",0.165,0.17,0.165,,,,,,,0.18,0.125,46200000,,"ASX",97934,0.007,,,0,0.165,4770000,7.139,1.03,23.571,0,,,"0.000",,
"MVW",24.97,24.85,,,,,-0.2,-0.008,"2017-01-30",24.72,24.85,24.77,,,,,,,25.91,19.48,,,"ASX",123811,,,,0,0,,,,,0,,,,,
"MWR",0.73,0.73,,,,"9/21/2015",0,0,"2017-01-30",0.73,0.73,0.73,,,,,,,1.1,0.5,6320000,,"ASX",685,0.06,,,0,0.54,"181958.00",2.46,1.36,13.04,0,,,"0.00",,
"MWY",2.6,2.56,,,,,0.04,0.0154,"2017-01-30",2.56,2.64,2.64,,,,,,,2.64,2.28,,,"ASX",68457,,0.22,,0,0,31100000,,,,-1.71,12,10.56,"0.00",,
"MX1",0.44,0.44,,,,,-0.02,-0.0455,"2017-01-30",0.41,0.44,0.42,,,,,,,0.57,0.29,50150000,,"ASX",254131,-0.17,-0.04,,0,0.15,-7840000,58.9,2.88,,0,,,"0.00",,
"MXC",0.039,0.039,,,,,0,0,"2017-01-30",0.037,0.041,0.039,,,,,,,0.083,0.023,,,"ASX",3836171,-0.015,,,0,0,"0.00",,,,0,,,"0.000",,
"MXI",0.56,0.61,,,,"3/23/2016",0.025,0.044640000000000006,"2017-01-30",0.585,0.61,0.585,,,,,,,0.65,0.4,108270000,,"ASX",41594,0.028,0.07,,0,0.656,16830000,0.305,0.854,20.893,0.19,8.357,8.357,"0.000",,
"MXR",0.003,0.003,,,,,0,0,"2017-01-30",0.003,0.003,0.003,,,,,,,0.007,0.001,5650000,,"ASX",5500000,-0.001,,,0,0.003,"-432810.00",335.296,1,,0,,,"0.000",,
"MXUPA",72.1,,,,,,-0.1,-0.0014000000000000002,"2017-01-30",71.85,72,72,,,,,,,73.1,66.55,,,"ASX",1703,6.14,,,0,0,,,,,0,,,,,
"MYO",3.53,3.5,,,,"3/9/2016",-0.08,-0.0227,"2017-01-30",3.4,3.52,3.45,,,,,,,4.09,2.63,2020000000,,"ASX",4344013,0.08,0.16,,0,1.47,123050000,5.97,2.39,42.07,2.07,21.56,19.17,"0.00",,
"MYR",1.25,1.25,,,,"9/28/2016",-0.03,-0.0279,"2017-01-30",1.22,1.25,1.22,,,,,,,1.46,0.98,1000000000,,"ASX",2363394,0.08,0.09,,0,1.35,179100000,0.37,0.93,15.84,1.21,13.56,12.2,"0.00",,
"MYS",4.5,4.5,,,,"9/1/2016",0.03,0.0067,"2017-01-30",4.49,4.56,4.53,,,,,,,4.59,3.8,397980000,,"ASX",23291,0.32,0.37,,0,3.41,"0.00",3.24,1.32,13.98,3.02,12.24,11.62,"0.00",,
