"symbol","previousClose","open","dividendYield","dividendPerShare","dividendPayDate","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","1YrTargetPrice","daysValueChange","pricePaid","holdingsGainPercent","annualizedGain","holdingsGain","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","epsEstimateNextYear","epsEstimateNextQuarter","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio","tickerTrend","holdingsValue"
"AOW",0.06,0.06,,,,,0,0,"2017-01-30",0.06,0.06,0.06,,,,,,,0.21,0.06,11340000,,"ASX",248166,-0.01,,,0,0.06,-2310000,,1.03,,0,,,"0.00",,
"APA",8.54,8.5,4.63,0.3,,"6/29/2016",-0.12,-0.0141,"2017-01-30",8.39,8.56,8.42,,,,,,,9.85,7.15,9380000000,,"ASX",1542179,0.16,0.22,,0,3.62,1330000000,4.54,2.36,52.3,1.76,38.27,33.68,"0.00",,
"APC",0.12,0.125,,,,,-0.005,-0.04167,"2017-01-30",0.115,0.125,0.115,,,,,,,0.125,0.115,16970000,,"ASX",1171154,-0.044,,,0,0.005,-4730000,1048.423,24,,0,,,"0.000",,
"APD",0.41,0.41,,,,"3/15/2016",0.01,0.037000000000000005,"2017-01-30",0.4,0.43,0.42,,,,,,,0.64,0.35,122930000,,"ASX",397777,0.17,0.01,,0,0.47,5400000,5.96,0.87,2.47,0,,,"0.00",,
"APE",9.7,9.72,,,,"3/24/2016",-0.1,-0.0103,"2017-01-30",9.55,9.97,9.6,,,,,,,12.5,8.41,1780000000,,"ASX",45966,0.48,0.52,,0,3.77,165800000,0.52,2.57,20,2.18,18.46,16.84,"0.00",,
"APG",0.007,0.007,,,,,-0.001,-0.14286,"2017-01-30",0.006,0.007,0.006,,,,,,,0.018,0.003,8910000,,"ASX",917423,0.001,,,0,0.024,-2049999.9999999998,,0.292,6,0,,,"0.000",,
"API",1.96,1.95,,,,"11/3/2016",-0.05,-0.023,"2017-01-30",1.9,1.96,1.91,,,,,,,2.24,1.57,934170000,,"ASX",1375394,0.1,0.12,,0,1.1,102780000,0.25,1.78,18.19,1.62,15.92,14.69,"0.00",,
"APL",1.09,1.09,,,,,0.005,0.00459,"2017-01-30",1.085,1.095,1.095,,,,,,,1.1,1.025,,,"ASX",291422,,,,0,0,"0.00",,,,0,,,"0.000",,
"APN",2.64,2.56,,,,"8/30/2012",-0.09,-0.0341,"2017-01-30",2.52,2.63,2.55,,,,,,,4.73,2.4,499830000,,"ASX",250620,-1.8,0.19,,0,1.39,139460000,0.61,1.9,,-0.61,13.42,12.14,"0.00",,
"APO",5.72,5.68,,,,"3/9/2016",-0.09,-0.015700000000000002,"2017-01-30",5.61,5.7,5.63,,,,,,,8.28,4.35,938040000,,"ASX",360023,0.29,0.31,,0,1.5,81430000,3.02,3.81,19.69,1.29,18.16,16.09,"0.00",,
"APX",2.86,2.86,,,,"9/1/2016",0,0,"2017-01-30",2.86,2.9,2.86,,,,,,,3.62,1.25,277700000,,"ASX",30389,0.11,0.11,,0,0.32,18030000,2.77,8.88,25.54,0,26,20.43,"0.00",,
"APY",0.009,0.009,,,,,0,0,"2017-01-30",0.009,0.009,0.009,,,,,,,0.019,0.006,10430000,,"ASX",60000,0.006,0,,0,0.006,-3210000,17.953,1.5,1.5,0,,,"0.000",,
"APZ",1.04,1.05,,,,"6/29/2016",0,0,"2017-01-30",1.04,1.05,1.04,,,,,,,1.29,0.97,117590000,,"ASX",2764,0.08,0.06,,0,1.3,5050000,3.16,0.8,12.53,0.2,17.33,11.56,"0.00",,
"AQC",0.018,0.018,,,,,0,0,"2017-01-30",0.018,0.018,0.018,,,,,,,0.031,0.009,77730000,,"ASX",711136,-0.002,,,0,0.003,-4040000,598.729,6,,0,,,"0.000",,
"AQD",0.008,0.009,,,,,0.001,0.125,"2017-01-30",0.009,0.009,0.009,,,,,,,0.019,0.005,4490000,,"ASX",1817632,-0.016,,,0,0.021,-1000000,204.986,0.381,,0,,,"0.000",,
"AQF",1.91,1.91,,,,,0,0,"2017-01-30",1.91,1.91,1.91,,,,,,,1.98,1.5,,,"ASX",30500,,,,0,0,"0.00",,,,0,,,"0.00",,
"AQG",2.33,2.4,,,,"3/25/2014",0.06,0.0258,"2017-01-30",2.37,2.45,2.39,,,,,,,3.85,1.88,697980000,,"ASX",174483,0.08,0.07,,0,2.23,46850000,4.4,1.04,28.45,-8.9,34.14,59.75,"0.00",,
"AQI",0.22,0.21,,,,,-0.01,-0.0455,"2017-01-30",0.21,0.21,0.21,,,,,,,0.45,0.03,15130000,,"ASX",48250,-0.02,,,0,0.02,-1450000,97.72,10.48,,0,,,"0.00",,
"AQQ",0.015,0.016,,,,,0.002,0.13333,"2017-01-30",0.016,0.018,0.017,,,,,,,0.045,0.012,12050000,,"ASX",262591,0,,,0,0.042,"-543956.00",,0.357,,0,,,"0.000",,
"AQZ",0.78,0.76,,,,"9/21/2016",-0.02,-0.0256,"2017-01-30",0.76,0.76,0.76,,,,,,,0.88,0.42,91960000,,"ASX",3950,0.12,0.12,,0,1.05,42540000,0.52,0.74,6.5,0.52,6.33,5.85,"0.00",,
"AR1",0.012,0.012,,,,,0,0,"2017-01-30",0.012,0.012,0.012,,,,,,,0.022,0.011,2680000,,"ASX",201372,0.024,,,0,0.004,"-548259.00",737.797,3,0.5,0,,,"0.000",,
