symbol,name,EPS,QuoteLast,Price200DayAverage,Price52WeekPercChange,PriceToBook,MarketCap,PE,DividendRecentQuarter,DividendNextQuarter,DPSRecentYear,IAD,DividendPerShare,DividendYield,Dividend,BookValuePerShareYear,CashPerShareYear,CurrentRatioYear,LTDebtToAssetsYear,LTDebtToAssetsQuarter,TotalDebtToAssetsYear,TotalDebtToAssetsQuarter,LTDebtToEquityYear,LTDebtToEquityQuarter,TotalDebtToEquityYear,TotalDebtToEquityQuarter,AINTCOV,ReturnOnInvestmentTTM,ReturnOnInvestment5Years,ReturnOnInvestmentYear,ReturnOnAssetsTTM,ReturnOnAssets5Years,ReturnOnAssetsYear,ReturnOnEquityTTM,ReturnOnEquity5Years,ReturnOnEquityYear,Beta,Float,InstitutionalPercentHeld,GrossMargin,EBITDMargin,OperatingMargin,NetProfitMarginPercent,NetIncomeGrowthRate5Years,RevenueGrowthRate5Years,RevenueGrowthRate10Years,EPSGrowthRate5Years,EPSGrowthRate10Years,Volume,AverageVolume
CCZ,Castillo Copper Ltd,-0.01,0.01,0,140,-,11000000,-,0,-,0,-,0,-,-,0,0,0.49,0,0,0,0,-,0,-,0,-,-194.07,-82.72,-220.12,-188.45,-78.01,-201.43,-194.07,-86.46,-220.12,-1.13,511.69,-,-,"-29,695.68","-303,428.10","-303,428.80",-,-8.4,-,-,-,0,"55,624.00"
CCZDA,Castillo Copper Ltd,-,-,0.01,-18.75,13.03,-,-,0,-,0,-,0,-,-,0,0,9.88,0,0,0,0,0,0,0,0,-,"-1,217.04",-83.65,"-1,217.01",-222.42,-78.21,-222.42,"-1,217.04",-88.06,"-1,217.01",-1.48,116.82,-,-,"-15,136.62","-20,388.73","-20,389.67",-,-51.69,-,-,-,-,-
CDA,Codan Limited,0.09,1.98,1.42,240.52,2.52,349990000,22.57,0.04,0.04,0.06,0.06,0.06,3.04,7.08,0.78,0.08,1.75,12.67,12.67,12.68,12.68,19.38,19.38,19.39,19.39,13.73,8.86,14.27,8.86,7.36,11.4,7.36,11.59,20.09,11.59,1.68,82.06,-,55.99,14.44,11.46,9.14,-11.26,3.39,3.75,-12.64,5.2,"40,018.00","377,612.00"
CDB,Condor Blanco Mines Ltd,-0.23,0.01,0.01,-55,1.97,1250000,-,0,-,0,-,0,-,-,0,0,0.07,0,0,0,0,0,0,0,0,-,-228.41,-61.67,-230.64,-214,-55.26,-197.19,-224.65,-61.11,-226.62,-1.9,74.06,-,-,"-215,256.50",-4120000,-4120000,-,-,-,-,-,0,-
CDC,China Dairy Corp Ltd,0.06,0.12,0.18,-,0.42,91860000,1.95,-,0.01,0.01,-,0.01,-,-,0.29,0.05,11.6,0,0,0.69,0.69,0,0,0.9,0.87,-,-,-,19.39,-,-,18.76,-,-,24.81,-,43.71,-,38.18,35.46,32.32,32.63,-,-,-,-,-,"29,648.00","80,805.00"
CDD,Cardno Limited,-0.59,1.03,0.8,38.66,0.89,496380000,-,0,-,0,-,0,-,7.69,1.16,0.22,2.04,16.38,16.38,16.68,16.68,27.36,27.36,27.86,27.86,-0.16,-17.54,-2.39,-17.54,-13.71,-1.88,-13.71,-26.32,-3.45,-26.32,0.63,462.37,-,54.39,2.16,-14.92,-12.39,-,7.56,20.41,-,-,"271,808.00","119,056.00"
CDDN,CARDNO DEF,-,6.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
CDG,Cleveland Mining Co Ltd,-0.04,0.07,0.06,75,-,27410000,-,0,-,0,-,0,-,-,0,0,0.05,0,0,72.62,103.16,-,-,-,-,-0.74,-,-71.19,-133.79,-69.67,-47.11,-45.3,-,-72.86,-155.33,1.33,366.58,-,-57.83,-328.47,-348.56,-672.21,-,141.57,-,-,-,0,-
CDH,ChongHerr Investments Ltd,0,0.01,0.01,-47.06,0.49,1180000,6,0,-,0,-,0,-,-,0.02,0,0.89,2.41,1.59,9.62,8.4,3.19,2.07,12.73,10.92,1.84,6.98,-11.68,1.04,5.63,-10.11,0.84,7.65,-12.92,1.15,-,8.91,-,45.67,34.35,16.4,16.4,-29.31,-15.48,-11.07,-31.28,-28.94,0,-
CDI,Challenger Diversified Property Group,0.16,2.74,-,-,1,582090000,17.41,0.09,-,0.18,-,0.18,-,36.87,2.74,0.03,0.23,28.63,28.96,28.63,28.96,43.33,44.14,43.33,44.14,3.98,4.26,2.56,4.66,3.81,2.22,4.45,5.76,3.36,6.7,-,212.62,-,69.42,62.88,47.81,35.79,1.76,4.04,-,-6.28,-,0,"6,914.00"
CDIDA,CHALL DIV STAPLED D,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
CDL,Canada Land Limited,-0.02,0,0.04,150,0.16,-,-,0,-,0,-,0,-,0,0.3,0.05,1.64,0,0,5.83,5.76,0,0,7.97,8.1,-,-6.36,2.25,-3.17,-5.69,2.05,-2.86,-7.83,2.85,-3.88,-,97.27,-,86.27,-76.62,-114.93,-97.83,-,-18.14,5.73,-,-,0,"2,286.00"
CDM,Cadence Capital Limited,-0.11,1.2,1.25,-20.67,1,326380000,-,0.04,0.04,0.09,0.09,0.09,7.56,23.26,1.19,0.59,-,0,0,29.61,29.61,0,0,50.16,50.16,-,-8.7,2.23,-8.7,-7.02,2.03,-7.02,-9.7,2.37,-9.7,0.53,225.79,-,-,-,-,-,-,-,-,-,-,"377,032.00","157,856.00"
CDMN,CADENCE DEF X OPT,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
CDP,Carindale Property Trust,0.71,7.8,8.12,10.36,0.97,546000000,11.06,0.14,0.2,0.33,0.34,0.33,4.41,26.31,7.93,0.03,0.19,26.64,26.64,26.64,26.64,38.31,38.31,38.31,38.31,-,6.48,8.27,6.48,6.29,7.98,6.29,9.08,11.65,9.08,0.07,67.96,-,74.86,65.83,88.14,88.14,20.57,9.1,7.16,20.57,-4.13,"3,377.00","38,758.00"
CDT,Castle Minerals Limited,0,0.02,0.01,45.45,-,2730000,-,0,-,0,-,0,-,-,0,0,0.35,0,0,0,0,-,-,-,-,-,-,-91.48,-,-133.67,-75.64,-133.67,-,-91.48,-,1.92,66.02,-,-,"-21,373.46","-29,232.31","-18,473.08",-,-63.81,-24.29,-,-,0,"389,155.00"
CDU,CuDeco Limited,-0.41,0.48,0.53,-,0.64,189250000,-,0,-,0,-,0,-,-,0.74,0.04,0.3,0,0,21.35,21.35,0,0,32.35,32.35,-10.48,-37.74,-16.49,-37.74,-29.38,-15.13,-29.38,-42.68,-17.36,-42.68,0.45,182.72,-,-,-,-,-,-,-,-,-,-,"85,833.00","163,868.00"
CDV,Cardinal Resources Ltd,-0.05,0.25,0.36,108.33,14.06,77520000,-,0,-,0,-,0,-,-,0.02,0.02,2.91,0,0,0,0,0,0,0,0,-,-378.06,-127.77,-378.06,-265.85,-117.04,-265.85,-378.06,-127.77,-378.06,2.69,249.41,-,-,"-21,115.97","-21,333.15","-21,327.80",-,190.85,-,-,-,"136,731.00","322,781.00"
CDY,Cellmid Limited,0,0.03,0.03,31.82,5.74,31920000,-,0,-,0,-,0,-,-,0.01,0,2.09,2.65,2.65,13.47,13.47,4.2,4.2,21.3,21.3,-45.17,-79.33,-57.4,-79.33,-51.6,-45.1,-51.6,-82.68,-58.34,-82.68,1.45,817.35,-,64,-128.44,-133.2,-103.25,-,104.62,45.63,-,-,3070000,"511,262.00"
CDYN,CELLMID DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
CDZ,CORTICAL DYNAMICS LTD NPV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CEL,Challenger Energy Ltd,0,0.02,0.02,-48.28,1.26,7010000,-,0,-,0,-,0,-,-,0.01,0,1.43,0,0,0,0,0,0,0,0,-90.1,-21.33,-51.73,-21.33,-18.59,-47.89,-18.59,-21.07,-52.01,-21.07,1.43,246.88,-,-,"-2,880.03","-2,880.03","-2,912.89",-,-54.69,-,-,-,"25,000.00","90,443.00"
CEN,CONTACT EN FPO NZX,-,4.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"4,177.00"
CEO,Draig Resources Ltd,-0.09,0.04,0.03,36.36,1.63,21280000,-,0,-,0,-,0,-,-,0.02,0.02,45.68,0,0,0,0,0,0,0,0,-,-34.44,-67.29,-34.44,-33.64,-66.02,-33.64,-34.44,-67.29,-34.44,0.92,160.23,-,-,-,-,-,-,-,-,-,-,0,-
CER,Vicinity Ltd,0.23,0.32,-,-,-,910180000,1.42,0,-,0,-,0,-,188.51,2.36,0.13,1.07,22.3,22.65,29.14,25,36.13,33.48,47.22,36.95,4.39,7.02,-16.11,4.48,6.01,-13.18,4.03,9.44,-25.9,6.34,-,"2,272.12",-,74.44,51.63,46.77,59.93,-,44.82,-,-,-,0,-
CFE,Cape Lambert Resources Limited,-0.05,0.02,0.02,5.56,3.06,12970000,-,0,-,0,-,0,-,0,0.01,0.01,1.16,0,0,0,0,0,0,0,0,-105.42,-178.25,-35.32,-178.25,-135.25,-33.03,-135.25,-178.45,-35.33,-178.45,1.75,437.43,-,-,"-3,776.59","-5,082.25","-4,976.28",-,-34.05,0.05,-,-,1230000,1010000
CFO,Cfoam Ltd,-,0.52,-,-,33.64,25410000,-,-,-,0,-,-,-,-,0.02,0.01,3.05,0,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,15.79,-,-,-,-,-,-,-,-,-,-,"98,974.00","209,971.00"
CFU,Ceramic Fuel Cells Limited,-0.01,0,0,-,-,12130000,-,0,-,0,-,0,-,-,0,0,2.65,28.41,28.41,29.74,29.74,94.51,94.51,98.91,98.91,-14.54,-107.76,-79.55,-107.76,-71.84,-62.06,-71.84,-181.11,-90.2,-181.11,-,"2,512.44",-,-38.08,-433.65,-417.04,-351.12,-,29.44,-,-,-,0,-
CFUN,CERAMCCELL DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
CFUNA,CERAMCCELL DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
CFXDA,CFS RETAIL STAPLED D,-,1.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,7470000
CGA,Contango Asset Management Ltd,-0.09,1.55,0.87,226.67,19.34,65510000,-,0,-,0,-,0,-,-,0.08,0.09,5.73,0,0,0,0,0,0,0,0,-,-73.38,-53.05,-73.38,-65.93,-42.43,-65.93,-73.38,-54.45,-73.38,-0.16,38.87,-,-,"-1,433.67","-1,433.67","-1,433.72",-,-56.06,-42.64,-,-,"1,360.00","13,483.00"
CGC,Costa Group Holdings Ltd,0.08,3.32,3.01,30.71,2.94,1060000000,41.91,0.06,0.06,0.09,0.09,0.09,2.71,18.99,1.13,0.01,1.36,18.25,18.25,18.25,18.25,28.86,28.86,28.86,28.86,-,5.61,-,5.61,4.61,-,4.61,9.07,-,9.85,-,254.14,-,61.46,7.51,2.74,3.12,-,-,-,-,-,1120000,"559,377.00"
CGF,Challenger Ltd,0.55,11.13,9.79,41.39,2.29,6360000000,20.12,0.16,0.16,0.32,0.32,0.32,2.95,177.9,4.8,1.21,-,27.54,27.54,27.54,27.54,215.49,215.49,215.49,215.49,-,1.71,1.98,1.71,1.67,1.82,1.67,12.55,14.71,12.55,1.2,547.34,-,93.19,34.48,35.23,18.6,4.62,3.04,-2.78,1.8,8.55,1910000,1220000
CGH,Calibre Group Ltd,-0.24,0,0.15,-57.41,1.14,-,-,0,-,0,-,0,-,1.84,0.1,0.05,1.17,9.67,9.67,9.88,9.88,36.47,36.47,37.29,37.29,-11.29,-75.06,-,-75.06,-48.9,-,-48.9,-106.09,-,-106.09,1.23,44.68,-,21.76,-5.22,-32.04,-28.18,-,15.3,-,-,-,0,"233,216.00"
CGI,Consolidated Global Investments Limited,-0.01,0,0,0,-,-,-,0,-,0,-,0,-,-,-0.01,0,0.09,0,0,413.86,413.86,-,-,-,-,-2.9,-,-76.58,-,-228.59,-41.33,-228.59,-,-98.05,-,0,91.37,-,-,"-2,639.36","-2,640.49","-3,550.68",-,-27.54,-13.05,-,-,0,-
CGL,Citadel Group Ltd,0.17,5,5.07,6.38,3.83,239420000,29.43,0.05,0.05,0.1,0.1,0.1,1.92,4.95,1.3,0.74,1.55,1.1,0.83,1.36,1.09,2.11,1.59,2.6,2.08,-,10.82,12.15,10.82,7.3,7.42,7.3,13.96,14.62,13.96,-,30.5,-,43.31,20.55,14.13,10.44,44.18,7.59,-,41.71,-,"20,450.00","31,979.00"
CGM,Cougar Metals NL,0,0.01,0.01,900,-,6650000,-,0,-,0,-,0,-,-,-0.01,0,0.2,0,0,65.07,65.07,-,-,-,-,-,-,-74.7,-,-121.86,-39.67,-121.86,-,-78.25,-,4.18,192.8,-,-,-57.92,-74.66,-72.67,-,-36.9,-6.53,-,-,0,"183,812.00"
CGN,Crater Gold Mining Ltd,-0.05,0.04,0.06,-33.85,0.44,11430000,-,0,-,0,-,0,-,-,0.1,0,0.07,10.23,10.23,14.44,14.44,13.55,13.55,19.12,19.12,-6.48,-35.28,-15.36,-35.28,-31.18,-14.07,-31.18,-39.19,-15.87,-39.19,1.11,136.9,-,-,"-1,005.08","-2,637.60","-2,798.82",-,39.47,21.83,-,-,"636,369.00","91,623.00"
CGO,CPT Global Limited,-0.1,0.16,0.25,-40,0.91,5950000,-,0,-,0,-,0,-,0,0.16,0.08,1.06,0,0,5.7,5.7,0,0,14.82,14.82,-3.39,-45.09,-9.3,-45.09,-22.43,-5.77,-22.43,-47.4,-9.59,-47.4,0.23,36.81,-,-,-5.87,-8.25,-12.63,-,-5.27,-0.69,-,-,"11,000.00","3,614.00"
CGR,CML Group Ltd,0.01,0.25,0.21,36.85,2.24,33220000,25.46,0,0,0.01,0.01,0.01,3.92,0.47,0.11,0.11,2.15,49.18,49.18,49.19,49.19,529.57,529.57,529.75,529.75,1.37,1.4,2.68,1.4,0.85,1.39,0.85,7.77,7.94,7.77,0.07,86.45,-,-,20.26,19.79,3.51,2.7,8.65,16.84,-8.7,-5.43,"50,169.00","126,576.00"
CGS,CogState Limited,0.02,1.24,0.92,121.85,10.7,140340000,52.32,0,-,0,-,0,-,-,0.12,0.07,2.69,0,0,0,0,0,0,0,0,4.53,20.98,-10.89,20.98,15.57,-8.79,15.57,22.1,-11.14,22.1,0.65,35.11,-,56.34,6.07,3.8,9.67,-,27.08,28.54,-,-,"71,341.00","66,890.00"
CGT,Castlemaine Goldfields Pty Ltd,-0.07,0,-,-,1.09,-,-,0,-,0,-,0,-,-,0.19,0.06,3.43,0.94,0.59,1.78,1.19,1.14,0.7,2.16,1.41,-267.98,-22.52,-24.14,-33.8,-20.79,-22.55,-31.21,-24.61,-26.42,-37.65,-,43.75,-,-15.83,-27.82,-57.13,-57.06,-,96.54,-,-,-,0,"5,807.00"
CGW,Coats Group PLC (GDR),-,0.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"206,263.00"
CGX,Cga Mining Pty Ltd,0.02,0,2.3,14.29,2.17,-,0,0,-,0,-,0,-,-,1.25,0.31,1.4,5.84,5.84,19.94,11.39,8.24,8.24,28.14,16.07,2.96,1.58,5.23,1.58,1.31,4.46,1.31,1.98,7.32,1.98,0.45,308.93,-,19.77,24.05,3.09,3.19,-,137.56,69.73,-,-,0,"1,206.00"
CGY,CADY ENERGY LIMITED NPV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CHC,Charter Hall Group,0.52,4.6,5.03,4.51,1.44,1900000000,8.84,0.14,0.14,0.27,0.28,0.27,6.05,103.64,3.21,0.35,2.19,0,0,0,0,0,0,0,0,-,16.95,10.29,16.95,15.95,9.4,15.95,17.04,10.53,17.04,1.09,406.2,-,98.95,30.11,131.24,130.22,32.68,8.57,-,24.97,-,1180000,1320000
CHF,Charter Pacific Corporation Ltd,0.01,0.02,0.02,-20.83,-,4060000,3.27,0,-,0,-,0,-,-,-0.03,0,0.03,0,0,812.66,812.66,-,-,-,-,-,-,"-1,339.22",-,-32.93,-57.92,-32.93,-,-,-,0.53,212.98,-,"-1,288.68","-3,840.27","-3,863.07","-3,863.07",-,-52.92,-29.27,-,-,0,-
CHK,Cohiba Minerals Ltd,-0.01,0.01,0.02,-5.45,2.58,2640000,-,0,-,0,-,0,-,-,0.01,0,46.76,0,0,0,0,0,0,0,0,-,-148.37,-54.82,-148.37,-143.04,-52.48,-143.04,-148.37,-54.82,-148.37,-1.42,128.45,-,-,"-12,552.75","-12,556.79","-12,556.79",-,-,-,-,-,"800,000.00","242,540.00"
CHMDC,CHAMELEON DEF SET,-,0.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
CHN,Chalice Gold Mines Limited,-0.02,0.16,0.16,65,0.76,43010000,-,0,-,0,-,0,-,-,0.22,0.22,83.1,0,0,0,0,0,0,0,0,-,-7.18,-6.99,-7.18,-7.08,-6.59,-7.08,-7.27,-6.99,-7.27,0.74,180.98,-,-,"-1,345.58","-1,597.98","-1,258.61",-,-,-,-,-,"84,500.00","108,538.00"
CHP,Chapmans Limited,-0.01,0.01,0.03,-66,0.45,4200000,-,0,-,0,-,0,-,-,0.04,0,0.03,5.24,7.57,15.87,8.66,6.94,12.51,21.01,14.31,-11.05,15.82,-112.52,-108.53,10.22,-53.74,-60.01,18.04,-106.61,-116,-1.74,234.08,-,103.97,34.89,20.19,22.85,-,65.41,10.17,-,-,"222,500.00","299,455.00"
CHR,Chalmers Limited,0.03,3.25,3.24,14.48,0.76,24750000,98.46,-,-,-,-,0,-,0,4.38,0.16,1.39,12.88,12.88,16.98,16.98,18.79,18.79,24.76,24.76,1.63,0.62,2.09,0.62,0.51,1.69,0.51,0.76,2.65,0.76,0.49,1.57,-,86.97,7.7,1.14,0.43,-41.23,0.29,4.98,-44.02,-16.41,920,145
CHZ,Chesser Resources Limited,0,0.04,0.04,40,1.28,5010000,-,0,-,0,-,0,-,-,0.03,0.03,35.54,0,0,0,0,0,0,0,0,-,-7.71,-11.73,-7.71,-7.56,-9.71,-7.56,-7.71,-11.59,-7.71,0.71,81.11,-,-,-778.53,-809.54,-727.25,-,-27.96,-,-,-,"105,000.00","25,962.00"
CIA,Champion Iron Ltd,-0.05,1.31,0.31,583.87,2.5,505570000,-,0,-,0,-,0,-,-,0.42,0.02,4.68,0,0,0,0,0,0,0,0,-0.9,-18.15,-,-8.8,-17.21,-,-8.69,-16.09,-,-8.85,2.43,220.14,-,-,-,-,-,-,-,-,-,-,1060000,"30,178.00"
CIE,Contango Income Generator Ltd,0.04,0.97,0.95,-4,0.97,78620000,26.44,0.04,0.04,0.06,0.06,0.06,6.77,2.14,0.99,0.18,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,74.37,-,79.63,66.82,66.82,62.26,-,-,-,-,-,"59,015.00","233,320.00"
CIF,Challenger Infrastructure Fund,-,1.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.11,0,0,0,0,0,0,0,0,-,0.66,-5.21,0.66,0.06,-3.38,0.06,9.96,-15,9.96,-,315.99,-,-,780.61,61.31,20.78,-10.69,-44.19,-,-14.98,-,0,"323,810.00"
CIGDA,CASPIAN DEF SET,-,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
CII,CI Resources Limited,0.3,1.75,2.21,29.63,1.14,202270000,5.88,0.08,0.08,0.13,0.12,0.13,6.86,10.4,1.53,0.6,5.28,0,0,0.07,0.07,0,0,0.09,0.09,-,17.56,20.35,17.56,15.78,14.15,15.78,20.74,19.97,20.74,0.38,34.02,-,33.53,27.81,24.97,18.2,63.11,12.1,-,48.74,-,0,"4,225.00"
CIM,Cimic Group Ltd,1.57,35,32.57,40.64,2.85,11350000000,22.24,0.48,0.48,0.96,0.98,0.98,2.84,385.9,12.09,6.4,1.24,8.67,10.47,10.92,12.16,20.5,26.11,25.81,30.3,5.9,9.32,-,9.05,5.06,-,4.63,13.97,-,13.26,1.25,81.53,-,39.21,11.11,7.36,4.51,-,-,-,-,-,"479,990.00","292,572.00"
CIN,Carlton Investments Limited,1.58,32.1,31.76,3.38,1.1,849840000,20.33,0.68,0.68,1.14,1.14,1.14,3.52,29.39,29.33,0.61,70.64,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-,4.51,4.8,4.51,4.51,4.8,4.51,5.45,5.65,5.45,0.81,8.93,-,99.97,98.29,98.29,96.62,7.38,7.09,7.1,7.41,7.83,755,"2,754.00"
CINPA,Carlton Investments Limited,1.58,2.05,-,-,-,859900000,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
CIO,CONNECTIO FPO,-,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1240000,"389,998.00"
CIW,Clime Investment Management Limited,0.02,0.56,0.55,-7.78,1.17,28080000,26.28,0.03,0.03,0.06,0.06,0.06,10.71,3.01,0.48,0.23,4.76,0,0,0,0,0,0,0,0,60.17,4,7.18,4,3.55,6.52,3.55,4.4,7.77,4.4,0.69,30.21,-,-,14.89,14.89,11.69,-12.86,10.75,10.37,-13.37,-8.3,"6,000.00","21,521.00"
CIX,Calliden Group Ltd.,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-,-,-,-,2.23,0.35,1.89,7.11,1.35,6.32,-,156.83,-,-,14.8,3.71,3.63,-7.62,9.41,41.33,-6.8,-17.99,0,"91,580.00"
CIZ,Corizon Ltd,0,0.02,0.02,-20,4.25,6300000,-,0,-,0,-,0,-,-,0,0,6.46,0,0,0,0,0,0,0,0,-7.68,-214.38,-51.22,-116.14,-94.6,-46.78,-96.97,-208.6,-51.02,-112.31,-0.15,162.67,-,-,"-18,413.00","-18,413.00","-20,324.67",-,-,-,-,-,0,-
CJC,Carajas Copper Company Ltd,-,0,-,-,-,8750000,-,-,-,-,-,-,-,-,-,-,1.02,0,0,0,0,0,0,0,0,-4.16,-170.88,-46.28,-159.64,-164.82,-34.79,-155.29,-149.16,-40.44,-139.27,-,"1,479.44",-,-,"-39,924.10",-1090000,-1100000,-,-,-29.27,-,-,0,"91,380.00"
CJCDA,Carajas Copper Company Ltd,-,-,0.03,-75,0.15,-,-,0,-,0,-,0,-,-,0.07,0,1.02,0,0,0,0,0,0,0,0,-4.16,-170.88,-46.28,-159.64,-164.82,-34.79,-155.29,-149.16,-40.44,-139.27,2.69,73.97,-,-,"-39,924.10",-1090000,-1100000,-,-,-29.27,-,-,-,-
CJO,Cerro Resources Pty Ltd,-0.02,0,0.11,31.31,1.88,-,-,0,-,0,-,0,-,-,0.07,0.01,4.3,0,0,0,0,0,0,0,0,-6.75,-41.16,-13.91,-7.9,-40.36,-11.84,-7.74,-41.16,-12.83,-7.9,1.64,473.37,-,-,-,-,-,-,-,-,-,-,0,830
CJT,CVC Property Fund,0,0,0.01,-,0.88,-,0,0,-,0,-,0,-,-,0.02,0,1.24,56.24,0,56.24,52.26,132.41,0,132.41,112.71,1.31,8.36,-3.23,2.19,6.2,-2.53,2.17,15.29,-11.16,5.66,-,718.43,-,84.27,74.74,74.74,47.57,-,15.93,70.13,-,-,0,-
CKA,Cokal Ltd,-0.08,0.02,0.03,-63.64,0.3,10080000,-,0,-,0,-,0,-,-,0.05,0,0.05,0,0,39.48,39.48,0,0,69.04,69.04,-15.09,-81.93,-23.73,-81.93,-60.6,-21.26,-60.6,-86.29,-24.43,-86.29,0.84,406.57,-,-,-583.39,"-6,746.72","-7,249.32",-,-6.21,41.02,-,-,"95,000.00",1210000
CKANA,COKAL DEF X OPT,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
CKE,Coke Resources Ltd,-,0.2,-,-,-,-,-,0,-,0,-,-,-,-,-,-,4.59,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-
CKF,Collins Foods Ltd,0.32,6.25,4.89,17.27,3.03,599210000,19.51,0.08,0.08,0.14,0.14,0.16,2.27,11.62,2.04,0.56,0.96,38.35,37.19,38.35,37.19,86.58,79.11,86.58,79.11,6.13,8.27,3.8,8.29,7.02,3.2,6.95,15.55,7.19,16.13,0.35,83.29,-,52.76,12.32,8.98,5.15,82.3,7.06,-,82.01,-,"103,523.00","209,121.00"
CKL,Colorpak Limited,0.04,0,0.5,39.6,0.88,-,0,0.01,0.01,0.02,0.02,0.02,4.12,1.05,0.69,0,1.64,23.76,24.77,24.91,25.53,50.65,52.47,53.09,54.09,3.06,3.19,1.92,3.52,2.39,1.48,2.63,5.2,3.15,5.86,0.53,36.16,-,47.08,8.03,4.17,1.99,-12.06,14.8,10.65,-12.61,-4.99,0,"29,996.00"
CKP,Cheviot Kirribilly Vineyard Property Grp,-0.24,0.12,-,-,-,1660000,-,0,-,0,-,0,-,-,1.76,0.01,0.25,2.46,2.46,44.54,44.54,5.1,5.1,92.29,92.29,0.23,-11.35,-,-11.35,-8.08,-,-8.08,-12.48,-,-12.48,-,12.1,-,21.59,9.32,-61.09,-56.19,-,-,-,-,-,0,-
CKPDA,CHEV KIRRI DEF SET,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
CL1,Class Ltd,0.05,2.7,3.2,42.11,16.78,315470000,59.08,0.02,0.01,0.04,0.04,0.04,1.48,4.01,0.16,0.13,5.34,0,0,0,0,0,0,0,0,-,36.66,-,36.66,30.35,-,30.35,37.47,-,37.47,-,53.87,-,-,44.96,33.9,22.92,-,-,-,-,-,"152,718.00","93,790.00"
