symbol,name,EPS,QuoteLast,Price200DayAverage,Price52WeekPercChange,PriceToBook,MarketCap,PE,DividendRecentQuarter,DividendNextQuarter,DPSRecentYear,IAD,DividendPerShare,DividendYield,Dividend,BookValuePerShareYear,CashPerShareYear,CurrentRatioYear,LTDebtToAssetsYear,LTDebtToAssetsQuarter,TotalDebtToAssetsYear,TotalDebtToAssetsQuarter,LTDebtToEquityYear,LTDebtToEquityQuarter,TotalDebtToEquityYear,TotalDebtToEquityQuarter,AINTCOV,ReturnOnInvestmentTTM,ReturnOnInvestment5Years,ReturnOnInvestmentYear,ReturnOnAssetsTTM,ReturnOnAssets5Years,ReturnOnAssetsYear,ReturnOnEquityTTM,ReturnOnEquity5Years,ReturnOnEquityYear,Beta,Float,InstitutionalPercentHeld,GrossMargin,EBITDMargin,OperatingMargin,NetProfitMarginPercent,NetIncomeGrowthRate5Years,RevenueGrowthRate5Years,RevenueGrowthRate10Years,EPSGrowthRate5Years,EPSGrowthRate10Years,Volume,AverageVolume
RIM,Rimfire Pacific Mining NL,0,0.03,0.02,85.71,1.64,23580000,-,0,-,0,-,0,-,-,0.02,0,2.96,0,0,0,0,0,0,0,0,-,-5.8,-8.56,-5.8,-5.62,-8.29,-5.62,-5.8,-8.56,-5.8,1.57,814.26,-,-,-382.31,-404.31,-407.51,-,18.42,19.1,-,-,"659,819.00","393,657.00"
RIO,Rio Tinto Limited,0.01,67.23,51.58,65.37,2.36,1.1224E+11,"6,318.61",0.59,0.59,2.84,2.11,2.01,3.26,"5,378.04",27.4,6.95,1.52,22.78,23.01,25.45,24.19,55.84,55.47,62.38,58.32,1.73,-0.99,2.14,-2.12,-0.81,1.72,-1.72,0.1,5.09,-2.07,1.1,410.62,-,-,29.21,7.36,-2.4,-,-8.79,6.23,-,-,6190000,1820000
RIR,Riva Resources Ltd,-0.03,0.03,0.01,-,9.34,16150000,-,0,-,0,-,0,-,-,0,0,1.48,0,0,0,0,0,0,0,0,-,-171.35,-26.51,-171.35,-166.78,-25.39,-166.78,-171.35,-26.68,-171.35,-,638.32,-,-,"-55,904.96","-55,904.96","-55,838.99",-,-45.23,-,-,-,6430000,3950000
RIS,Richfield International Limited,0.02,0,0.24,126.67,1.1,-,0,0,-,0,-,0,-,-,0.31,0.2,12.78,0,0,0,0,0,0,0,0,-,6.34,6.36,10.22,5.6,5.25,9.42,6.34,6.37,10.22,0.25,49.18,-,88.49,22.79,18.62,35.39,-,-12.28,-,-,-,0,"109,114.00"
RKN,Reckon Limited,0.11,1.66,1.56,-15.9,5.38,188070000,15.64,0.02,0.02,0.07,0.05,0.05,3.05,10.01,0.3,0.01,0.89,45.06,45.03,45.06,45.58,147.65,154.62,147.65,156.5,9.99,13.32,24.66,17.67,10.3,18.82,14.03,34.63,38.6,45.56,0.45,84.2,-,77.64,32.34,15.84,11.02,-2.42,3.1,9.55,1.03,10.07,"71,784.00","96,687.00"
RLC,Reedy Lagoon Corporation Ltd.,0,0.02,0.01,183.33,-,2690000,-,0,-,0,-,0,-,-,0,0,0.28,0,0,0,0,-,-,-,-,-,-,-155.22,-,-873.3,-125.62,-873.3,-,-159.65,-,-,109.02,-,-,"-1,379.54","-1,383.91","-1,383.95",-,-45.76,11.98,-,-,"8,564.00",2920000
RLE,Real Energy Corporation Ltd,0,0.06,0.09,-27.06,0.49,12460000,-,0,-,0,-,0,-,-,0.13,0.04,5.24,0,0,0,0,0,0,0,0,-,-0.12,2.14,-0.12,-0.12,1.93,-0.12,-0.13,2.16,-0.13,-,82.99,-,-,20.14,-1.8,-1.8,-,230.8,-,-,-,"114,278.00","67,405.00"
RLG,RCL Group Ltd,-0.2,0.05,0.05,-15.09,0.1,7920000,-,0,-,0,-,0,-,0,0.43,0.02,0.36,2.03,2.03,71.35,71.34,8.65,8.65,304.54,304.51,0.07,-32.24,-,-31.89,-10.51,-,-10.47,-38.15,-,-37.66,1.78,102.81,-,9.92,-35.05,-39.27,-85.71,-,-,-,-,-,0,-
RMA,Reeltime Media Limited,0,0,-,-,-,-,-,0,-,0,-,0,-,-,0,0,18.78,0,0,0,0,0,0,0,0,-21.61,-143.47,-117.01,-143.47,-73.49,-62.84,-73.49,-192.43,-300.95,-192.43,-,302.63,-,34.84,-31.11,-33.93,-67.66,-,-,-,-,-,0,-
RMD,ResMed Inc. (CHESS),-,9.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5670000,1430000
