,column_name,importance
130,twenty_six_week_total_return,0.0023178526
198,H05_GLFSEPTPOP_T6_10P,0.0023019512
294,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",0.0022925977
182,GRCPBMAD_T6_10P,0.0022514411
27,640106_A3597525W,0.0022467643
660,"value__linear_trend__attr_""pvalue""",0.0022243154
250,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""intercept""",0.0022205738
542,"value__fft_coefficient__coeff_4__attr_""imag""",0.0022168325
209,"value__agg_linear_trend__f_agg_""max""__chunk_len_10__attr_""stderr""",0.0021943834
138,fifty_two_week_comparison_adjustedPrice,0.0021934481
52,TotalDebtToEquityYear,0.0021878358
140,fifty_two_week_price_return,0.0021803528
39,GRCPBCAD,0.0021784822
51,ReturnOnEquityYear,0.0021616453
17,allorddayslow,0.0021616453
135,fifty_two_week_std,0.002125166
122,twenty_six_week_std,0.0021120708
179,GRCPBCSAD_T11_20P,0.002102717
679,exDividendRelative,0.0020999108
655,value__first_location_of_minimum,0.0020961694
300,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",0.0020933633
96,eight_week_std,0.0020924278
682,quoteDate_MONTH,0.0020886865
242,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""intercept""",0.0020755911
379,value__cid_ce__normalize_True,0.0020755911
190,GRCPRCAD_T6_10P,0.0020391117
520,"value__fft_coefficient__coeff_3__attr_""imag""",0.0020334995
684,quoteDate_DAYOFWEEK,0.002025081
33,EPS,0.0020101152
221,"value__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""stderr""",0.0020007615
239,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""rvalue""",0.0019932785
166,GRCPAIAD_T6_10P,0.00198486
498,"value__fft_coefficient__coeff_2__attr_""imag""",0.0019652173
233,"value__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""stderr""",0.0019530574
680,quoteDate_TIMESTAMP,0.0019530574
399,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_13__w_5",0.0019465098
4,daysLow,0.0018875813
677,value__spkt_welch_density__coeff_5,0.0018782276
10,changeFrom52WeekHigh,0.0018782276
62,one_week_price_return,0.001846425
40,GRCPBCSAD,0.0018454896
100,eight_week_price_change,0.0018352005
