Wall time,Step,Value
1496358923,9097,2.170035362
1496359454,9197,2.169023037
1496359984,9297,2.168021679
1496360516,9397,2.167025089
1496361044,9497,2.166034698
1496361573,9597,2.16505456
1496362103,9697,2.164083004
1496362632,9797,2.163117647
1496363164,9897,2.162157059
1496363691,9997,2.161203861
1496364218,10097,2.160257339
1496364750,10197,2.159326553
1496365275,10297,2.158402681
1496365805,10397,2.157489061
1496366336,10497,2.156582355
1496366866,10597,2.155677319
1496367396,10697,2.154780626
1496367902,10796,2.153900623
1496368429,10897,2.152998924
1496368955,10998,2.152113199
1496369476,11097,2.151246071
1496369995,11200,2.150343418
1496370526,11298,2.14948988
1496371056,11397,2.148638487
1496371584,11497,2.147778273
1496372113,11597,2.146924019
1496372621,11697,2.146071911
1496373145,11799,2.145210266
1496373653,11896,2.144396544
1496374181,11997,2.143553257
1496374718,12097,2.142723083
1496375257,12197,2.141896486
1496375782,12297,2.141072989
1496376305,12399,2.140238285
1496376837,12497,2.139445066
1496377365,12597,2.138632059
1496377894,12697,2.137820721
1496378424,12797,2.137011528
1496378952,12897,2.136205196
1496379480,12997,2.135402441
1496380006,13097,2.134606361
1496380536,13197,2.133812666
1496381064,13297,2.133023024
1496381592,13397,2.132237434
1496382121,13497,2.131454468
1496382648,13597,2.13067174
1496383174,13697,2.12989378
1496383699,13797,2.12911725
1496384225,13897,2.128343105
1496384751,13997,2.127577782
1496385277,14097,2.126811743
1496385805,14197,2.126045942
1496386337,14297,2.125282288
1496386868,14397,2.124522924
1496387398,14497,2.123765469
1496387928,14597,2.123009443
1496388458,14697,2.122256041
1496388991,14797,2.121503353
1496389534,14897,2.120751143
1496390067,14997,2.120007515
1496390603,15097,2.119265318
1496391146,15196,2.118532181
1496391687,15297,2.1177845
1496392208,15398,2.117043018
1496392731,15497,2.116320133
1496393264,15597,2.11558485
1496393786,15697,2.114858627
1496394316,15797,2.114135742
1496394863,15896,2.11342001
1496395394,15997,2.112692118
1496395926,16097,2.111971378
1496396444,16200,2.111235857
1496396991,16297,2.11054945
1496397588,16400,2.109817505
1496398174,16497,2.109141827
1496398700,16597,2.108447552
1496399227,16697,2.107752562
1496399748,16800,2.107042313
1496400240,16894,2.106397152
1496400759,16999,2.105679274
1496401271,17095,2.105027199
1496401799,17197,2.1043365
1496402327,17297,2.103666306
1496402833,17399,2.102981567
1496403338,17497,2.102329016
1496403844,17594,2.101687193
1496404364,17699,2.100990534
1496404872,17795,2.10035634
1496405391,17898,2.099679232
1496405897,17995,2.099046469
1496406402,18097,2.098380089
1496406909,18196,2.097740173
1496407427,18300,2.097067595
1496407942,18395,2.096458673
1496408464,18497,2.095807552
1496408988,18597,2.095163107
1496409510,18698,2.094525337
1496410030,18798,2.093890905
1496410537,18896,2.093272209
1496411057,18999,2.092628956
1496411563,19094,2.092037916
1496412086,19198,2.091398239
1496412607,19298,2.090786695
1496413126,19400,2.090167999
1496413632,19497,2.089583635
1496414152,19600,2.088963985
1496414660,19696,2.088394165
1496415180,19799,2.08778882
1496415699,19899,2.087197065
1496416205,19997,2.086627007
