symbol,GICSSector,GICSIndustryGroup,GICSIndustry
MAT,Materials,Materials,Metals & Mining
MXR,Materials,Materials,Metals & Mining
MRL,Materials,Materials,Metals & Mining
MML,Materials,Materials,Metals & Mining
MED,Materials,Materials,Metals & Mining
MAS,Materials,Materials,Metals & Mining
MBK,Materials,Materials,Metals & Mining
MCT,Materials,Materials,Metals & Mining
MLM,Materials,Materials,Metals & Mining
MLS,Materials,Materials,Metals & Mining
MLX,Materials,Materials,Metals & Mining
MSE,Materials,Materials,Metals & Mining
MTC,Materials,Materials,Metals & Mining
MEI,Materials,Materials,Metals & Mining
MNC,Materials,Materials,Metals & Mining
MDI,Materials,Materials,Metals & Mining
MOY,Materials,Materials,Metals & Mining
MNB,Materials,Materials,Metals & Mining
MCR,Materials,Materials,Metals & Mining
MDX,Materials,Materials,Metals & Mining
MRC,Materials,Materials,Metals & Mining
MDL,Materials,Materials,Metals & Mining
MIN,Materials,Materials,Metals & Mining
MEP,Materials,Materials,Metals & Mining
MRR,Materials,Materials,Metals & Mining
MSV,Materials,Materials,Metals & Mining
MTH,Materials,Materials,Metals & Mining
MMG,Materials,Materials,Metals & Mining
MOD,Materials,Materials,Metals & Mining
MOX,Materials,Materials,Metals & Mining
MTB,Materials,Materials,Metals & Mining
MGX,Materials,Materials,Metals & Mining
MRD,Materials,Materials,Metals & Mining
MRQ,Materials,Materials,Metals & Mining
MGV,Materials,Materials,Metals & Mining
MUS,Materials,Materials,Metals & Mining
MYL,Materials,Materials,Metals & Mining
MZI,Materials,Materials,Metals & Mining
NAG,Materials,Materials,Metals & Mining
NML,Materials,Materials,Metals & Mining
NAV,Materials,Materials,Metals & Mining
NES,Materials,Materials,Metals & Mining
NXR,Materials,Materials,Metals & Mining
NMT,Materials,Materials,Metals & Mining
NCZ,Materials,Materials,Metals & Mining
NTL,Materials,Materials,Metals & Mining
NWC,Materials,Materials,Metals & Mining
NCM,Materials,Materials,Metals & Mining
NWF,Materials,Materials,Metals & Mining
NME,Materials,Materials,Metals & Mining
NXM,Materials,Materials,Metals & Mining
NIO,Materials,Materials,Metals & Mining
NIU,Materials,Materials,Metals & Mining
NKP,Materials,Materials,Metals & Mining
NMM,Materials,Materials,Metals & Mining
N27,Materials,Materials,Metals & Mining
NTU,Materials,Materials,Metals & Mining
NMI,Materials,Materials,Metals & Mining
NST,Materials,Materials,Metals & Mining
NVA,Materials,Materials,Metals & Mining
NLI,Materials,Materials,Metals & Mining
NVX,Materials,Materials,Metals & Mining
NSL,Materials,Materials,Metals & Mining
NTM,Materials,Materials,Metals & Mining
NCR,Materials,Materials,Metals & Mining
NUS,Materials,Materials,Metals & Mining
NZC,Materials,Materials,Metals & Mining
OAR,Materials,Materials,Metals & Mining
OGC,Materials,Materials,Metals & Mining
ODM,Materials,Materials,Metals & Mining
OKR,Materials,Materials,Metals & Mining
OKU,Materials,Materials,Metals & Mining
OMH,Materials,Materials,Metals & Mining
ORR,Materials,Materials,Metals & Mining
OGX,Materials,Materials,Metals & Mining
ORM,Materials,Materials,Metals & Mining
ORN,Materials,Materials,Metals & Mining
ONX,Materials,Materials,Metals & Mining
OVL,Materials,Materials,Metals & Mining
ORE,Materials,Materials,Metals & Mining
OZL,Materials,Materials,Metals & Mining
PAK,Materials,Materials,Metals & Mining
PBX,Materials,Materials,Metals & Mining
PMY,Materials,Materials,Metals & Mining
PAN,Materials,Materials,Metals & Mining
PGI,Materials,Materials,Metals & Mining
PNR,Materials,Materials,Metals & Mining
PEK,Materials,Materials,Metals & Mining
PEX,Materials,Materials,Metals & Mining
PUN,Materials,Materials,Metals & Mining
PEL,Materials,Materials,Metals & Mining
PSM,Materials,Materials,Metals & Mining
PNN,Materials,Materials,Metals & Mining
PEC,Materials,Materials,Metals & Mining
PRU,Materials,Materials,Metals & Mining
PLL,Materials,Materials,Metals & Mining
PLS,Materials,Materials,Metals & Mining
PIO,Materials,Materials,Metals & Mining
PGM,Materials,Materials,Metals & Mining
PNX,Materials,Materials,Metals & Mining
POD,Materials,Materials,Metals & Mining
PXX,Materials,Materials,Metals & Mining
POS,Materials,Materials,Metals & Mining
POZ,Materials,Materials,Metals & Mining
PDZ,Materials,Materials,Metals & Mining
PDI,Materials,Materials,Metals & Mining
PRX,Materials,Materials,Metals & Mining
ABU,Materials,Materials,Metals & Mining
PSC,Materials,Materials,Metals & Mining
PM1,Materials,Materials,Metals & Mining
PUR,Materials,Materials,Metals & Mining
QGL,Materials,Materials,Metals & Mining
QBL,Materials,Materials,Metals & Mining
RDN,Materials,Materials,Metals & Mining
RMS,Materials,Materials,Metals & Mining
RND,Materials,Materials,Metals & Mining
RBR,Materials,Materials,Metals & Mining
RRP,Materials,Materials,Metals & Mining
RED,Materials,Materials,Metals & Mining
RHI,Materials,Materials,Metals & Mining
RDM,Materials,Materials,Metals & Mining
RMX,Materials,Materials,Metals & Mining
RVR,Materials,Materials,Metals & Mining
RCP,Materials,Materials,Metals & Mining
RDS,Materials,Materials,Metals & Mining
RLC,Materials,Materials,Metals & Mining
RRL,Materials,Materials,Metals & Mining
RNX,Materials,Materials,Metals & Mining
RSG,Materials,Materials,Metals & Mining
RBX,Materials,Materials,Metals & Mining
RDG,Materials,Materials,Metals & Mining
RMI,Materials,Materials,Metals & Mining
REZ,Materials,Materials,Metals & Mining
RXM,Materials,Materials,Metals & Mining
RIE,Materials,Materials,Metals & Mining
RVY,Materials,Materials,Metals & Mining
RIM,Materials,Materials,Metals & Mining
RIO,Materials,Materials,Metals & Mining
RGL,Materials,Materials,Metals & Mining
RMT,Materials,Materials,Metals & Mining
RMG,Materials,Materials,Metals & Mining
RXL,Materials,Materials,Metals & Mining
RCO,Materials,Materials,Metals & Mining
RTG,Materials,Materials,Metals & Mining
RTR,Materials,Materials,Metals & Mining
S2R,Materials,Materials,Metals & Mining
SBR,Materials,Materials,Metals & Mining
SFR,Materials,Materials,Metals & Mining
SFM,Materials,Materials,Metals & Mining
SMI,Materials,Materials,Metals & Mining
SAR,Materials,Materials,Metals & Mining
STN,Materials,Materials,Metals & Mining
SYA,Materials,Materials,Metals & Mining
SRR,Materials,Materials,Metals & Mining
SFX,Materials,Materials,Metals & Mining
SHH,Materials,Materials,Metals & Mining
SBU,Materials,Materials,Metals & Mining
SIH,Materials,Materials,Metals & Mining
SCI,Materials,Materials,Metals & Mining
SLR,Materials,Materials,Metals & Mining
SVL,Materials,Materials,Metals & Mining
SGM,Materials,Materials,Metals & Mining
SNV,Materials,Materials,Metals & Mining
SRI,Materials,Materials,Metals & Mining
SI6,Materials,Materials,Metals & Mining
SSE,Materials,Materials,Metals & Mining
SMG,Materials,Materials,Metals & Mining
SAY,Materials,Materials,Metals & Mining
S32,Materials,Materials,Metals & Mining
SXX,Materials,Materials,Metals & Mining
SAU,Materials,Materials,Metals & Mining
SUH,Materials,Materials,Metals & Mining
SVM,Materials,Materials,Metals & Mining
SEI,Materials,Materials,Metals & Mining
SPI,Materials,Materials,Metals & Mining
SBM,Materials,Materials,Metals & Mining
SGQ,Materials,Materials,Metals & Mining
SVY,Materials,Materials,Metals & Mining
SRZ,Materials,Materials,Metals & Mining
SHK,Materials,Materials,Metals & Mining
SWJ,Materials,Materials,Metals & Mining
STA,Materials,Materials,Metals & Mining
SER,Materials,Materials,Metals & Mining
SMC,Materials,Materials,Metals & Mining
SRK,Materials,Materials,Metals & Mining
SUM,Materials,Materials,Metals & Mining
SDL,Materials,Materials,Metals & Mining
STM,Materials,Materials,Metals & Mining
SUP,Materials,Materials,Metals & Mining
SPQ,Materials,Materials,Metals & Mining
SRN,Materials,Materials,Metals & Mining
SWK,Materials,Materials,Metals & Mining
SL1,Materials,Materials,Metals & Mining
SMD,Materials,Materials,Metals & Mining
SYR,Materials,Materials,Metals & Mining
TLG,Materials,Materials,Metals & Mining
TLM,Materials,Materials,Metals & Mining
TAM,Materials,Materials,Metals & Mining
TNO,Materials,Materials,Metals & Mining
TRL,Materials,Materials,Metals & Mining
TAO,Materials,Materials,Metals & Mining
TAR,Materials,Materials,Metals & Mining
TAS,Materials,Materials,Metals & Mining
TAW,Materials,Materials,Metals & Mining
TMT,Materials,Materials,Metals & Mining
TMX,Materials,Materials,Metals & Mining
TZN,Materials,Materials,Metals & Mining
TMZ,Materials,Materials,Metals & Mining
THR,Materials,Materials,Metals & Mining
THX,Materials,Materials,Metals & Mining
TPO,Materials,Materials,Metals & Mining
TIE,Materials,Materials,Metals & Mining
TGS,Materials,Materials,Metals & Mining
TIG,Materials,Materials,Metals & Mining
TTM,Materials,Materials,Metals & Mining
TSL,Materials,Materials,Metals & Mining
TNG,Materials,Materials,Metals & Mining
TIN,Materials,Materials,Metals & Mining
TRT,Materials,Materials,Metals & Mining
TTW,Materials,Materials,Metals & Mining
TNR,Materials,Materials,Metals & Mining
TKL,Materials,Materials,Metals & Mining
TKM,Materials,Materials,Metals & Mining
TBR,Materials,Materials,Metals & Mining
TON,Materials,Materials,Metals & Mining
TRY,Materials,Materials,Metals & Mining
TRM,Materials,Materials,Metals & Mining
TGN,Materials,Materials,Metals & Mining
TYK,Materials,Materials,Metals & Mining
TYX,Materials,Materials,Metals & Mining
VAL,Materials,Materials,Metals & Mining
VAN,Materials,Materials,Metals & Mining
VAR,Materials,Materials,Metals & Mining
VEC,Materials,Materials,Metals & Mining
VRX,Materials,Materials,Metals & Mining
VMS,Materials,Materials,Metals & Mining
VXR,Materials,Materials,Metals & Mining
VMC,Materials,Materials,Metals & Mining
VRM,Materials,Materials,Metals & Mining
VIA,Materials,Materials,Metals & Mining
VIC,Materials,Materials,Metals & Mining
VII,Materials,Materials,Metals & Mining
VKA,Materials,Materials,Metals & Mining
VML,Materials,Materials,Metals & Mining
VRC,Materials,Materials,Metals & Mining
VYS,Materials,Materials,Metals & Mining
WKT,Materials,Materials,Metals & Mining
WAL,Materials,Materials,Metals & Mining
WAF,Materials,Materials,Metals & Mining
WWI,Materials,Materials,Metals & Mining
WSA,Materials,Materials,Metals & Mining
WGX,Materials,Materials,Metals & Mining
WSI,Materials,Materials,Metals & Mining
WCN,Materials,Materials,Metals & Mining
WRM,Materials,Materials,Metals & Mining
WFE,Materials,Materials,Metals & Mining
WLF,Materials,Materials,Metals & Mining
WLC,Materials,Materials,Metals & Mining
WML,Materials,Materials,Metals & Mining
WPG,Materials,Materials,Metals & Mining
XAM,Materials,Materials,Metals & Mining
ZAM,Materials,Materials,Metals & Mining
ZGM,Materials,Materials,Metals & Mining
ZNC,Materials,Materials,Metals & Mining
ZER,Materials,Materials,Metals & Mining
ZIM,Materials,Materials,Metals & Mining
ZMI,Materials,Materials,Metals & Mining
AAI,Materials,Materials,Metals & Mining
ADU,Materials,Materials,Metals & Mining
AKI,Materials,Materials,Metals & Mining
ALB,Materials,Materials,Metals & Mining
AOH,Materials,Materials,Metals & Mining
AQQ,Materials,Materials,Metals & Mining
ATV,Materials,Materials,Metals & Mining
AVM,Materials,Materials,Metals & Mining
AXZ,Materials,Materials,Metals & Mining
AZX,Materials,Materials,Metals & Mining
BRM,Materials,Materials,Metals & Mining
CCU,Materials,Materials,Metals & Mining
CNH,Materials,Materials,Metals & Mining
CRE,Materials,Materials,Metals & Mining
DSB,Materials,Materials,Metals & Mining
EXC,Materials,Materials,Metals & Mining
EXS,Materials,Materials,Metals & Mining
HAO,Materials,Materials,Metals & Mining
HSK,Materials,Materials,Metals & Mining
IGR,Materials,Materials,Metals & Mining
K2P,Materials,Materials,Metals & Mining
KDL,Materials,Materials,Metals & Mining
KZL,Materials,Materials,Metals & Mining
LRC,Materials,Materials,Metals & Mining
MBN,Materials,Materials,Metals & Mining
MCC,Materials,Materials,Metals & Mining
MII,Materials,Materials,Metals & Mining
MMW,Materials,Materials,Metals & Mining
MOL,Materials,Materials,Metals & Mining
PGO,Materials,Materials,Metals & Mining
PLV,Materials,Materials,Metals & Mining
PNA,Materials,Materials,Metals & Mining
QMN,Materials,Materials,Metals & Mining
SCR,Materials,Materials,Metals & Mining
TGZ,Materials,Materials,Metals & Mining
TMM,Materials,Materials,Metals & Mining
BRI,Materials,Materials,Paper & Forest Products
KPT,Materials,Materials,Paper & Forest Products
MWY,Materials,Materials,Paper & Forest Products
PPY,Materials,Materials,Paper & Forest Products
QIN,Materials,Materials,Paper & Forest Products
TGP,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
ABP,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
AGJ,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
APW,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
LEP,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
ATT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
ARF,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
AJD,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
APZ,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
AOF,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
AVN,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
BWR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
BWP,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
CDP,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
CIP,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
CMA,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
CHC,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
CLW,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
CQR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
CRR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
CMW,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
DXS,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
ERF,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
FPP,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
FET,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
GDF,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
GDI,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
GMG,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
GPT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
GOZ,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
HPI,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
IDR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
INA,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
IOF,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
INM,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
LTN,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
MGR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
NSR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
PLG,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
RNY,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
RFF,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
SCG,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
SCP,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
SGP,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
URW,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
URF,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
VCX,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
VVR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
WFD,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
AJA,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
BPA,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
GHC,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
GJT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
GMF,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
CUA,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs)
AOG,Real Estate,Real Estate,Real Estate Management & Development
AVJ,Real Estate,Real Estate,Real Estate Management & Development
AXI,Real Estate,Real Estate,Real Estate Management & Development
BHL,Real Estate,Real Estate,Real Estate Management & Development
BMP,Real Estate,Real Estate,Real Estate Management & Development
CAQ,Real Estate,Real Estate,Real Estate Management & Development
CWP,Real Estate,Real Estate,Real Estate Management & Development
DGH,Real Estate,Real Estate,Real Estate Management & Development
DVN,Real Estate,Real Estate,Real Estate Management & Development
EGH,Real Estate,Real Estate,Real Estate Management & Development
FE8,Real Estate,Real Estate,Real Estate Management & Development
FRI,Real Estate,Real Estate,Real Estate Management & Development
FLK,Real Estate,Real Estate,Real Estate Management & Development
GTY,Real Estate,Real Estate,Real Estate Management & Development
GPS,Real Estate,Real Estate,Real Estate Management & Development
HGL,Real Estate,Real Estate,Real Estate Management & Development
IEQ,Real Estate,Real Estate,Real Estate Management & Development
KLO,Real Estate,Real Estate,Real Estate Management & Development
LHM,Real Estate,Real Estate,Real Estate Management & Development
LMW,Real Estate,Real Estate,Real Estate Management & Development
LLC,Real Estate,Real Estate,Real Estate Management & Development
LIC,Real Estate,Real Estate,Real Estate Management & Development
LHB,Real Estate,Real Estate,Real Estate Management & Development
MEA,Real Estate,Real Estate,Real Estate Management & Development
MPX,Real Estate,Real Estate,Real Estate Management & Development
PPC,Real Estate,Real Estate,Real Estate Management & Development
PHI,Real Estate,Real Estate,Real Estate Management & Development
RPG,Real Estate,Real Estate,Real Estate Management & Development
SRV,Real Estate,Real Estate,Real Estate Management & Development
SSL,Real Estate,Real Estate,Real Estate Management & Development
SDG,Real Estate,Real Estate,Real Estate Management & Development
AU1,Real Estate,Real Estate,Real Estate Management & Development
TIA,Real Estate,Real Estate,Real Estate Management & Development
UUL,Real Estate,Real Estate,Real Estate Management & Development
UOS,Real Estate,Real Estate,Real Estate Management & Development
VP7,Real Estate,Real Estate,Real Estate Management & Development
VLW,Real Estate,Real Estate,Real Estate Management & Development
PAY,Real Estate,Real Estate,Real Estate Management & Development
5GN,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
BRO,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
CNU,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
FSG,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
FRX,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
IAB,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
MAQ,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
MNF,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
REF,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
SAS,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
SPK,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
SDA,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
ST1,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
SLC,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
TLS,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
TPC,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
TPM,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
VOC,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
NBS,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
AYS,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
ENC,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
HTA,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
MIH,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
UNL,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
ZIP,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
BGL,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
14D,Unknown,Unknown,Unknown
AQM,Unknown,Unknown,Unknown
AZZ,Unknown,Unknown,Unknown
AOJ,Unknown,Unknown,Unknown
AOL,Unknown,Unknown,Unknown
AO2,Unknown,Unknown,Unknown
ATZ,Unknown,Unknown,Unknown
AQH,Unknown,Unknown,Unknown
ATB,Unknown,Unknown,Unknown
AM3,Unknown,Unknown,Unknown
ANV,Unknown,Unknown,Unknown
XCL,Unknown,Unknown,Unknown
AYU,Unknown,Unknown,Unknown
AWA,Unknown,Unknown,Unknown
BBM,Unknown,Unknown,Unknown
B2Y,Unknown,Unknown,Unknown
BPB,Unknown,Unknown,Unknown
DXA,Unknown,Unknown,Unknown
CHJ,Unknown,Unknown,Unknown
CHU,Unknown,Unknown,Unknown
CTC,Unknown,Unknown,Unknown
CVL,Unknown,Unknown,Unknown
CFF,Unknown,Unknown,Unknown
CR1,Unknown,Unknown,Unknown
CD3,Unknown,Unknown,Unknown
CNA,Unknown,Unknown,Unknown
CUH,Unknown,Unknown,Unknown
CU1,Unknown,Unknown,Unknown
CU2,Unknown,Unknown,Unknown
PRZ,Unknown,Unknown,Unknown
DAZ,Unknown,Unknown,Unknown
DAM,Unknown,Unknown,Unknown
DAE,Unknown,Unknown,Unknown
DAQ,Unknown,Unknown,Unknown
ETK,Unknown,Unknown,Unknown
EMI,Unknown,Unknown,Unknown
EFF,Unknown,Unknown,Unknown
FCR,Unknown,Unknown,Unknown
FMA,Unknown,Unknown,Unknown
GEO,Unknown,Unknown,Unknown
HXP,Unknown,Unknown,Unknown
HCS,Unknown,Unknown,Unknown
IAN,Unknown,Unknown,Unknown
IDF,Unknown,Unknown,Unknown
IDH,Unknown,Unknown,Unknown
IDJ,Unknown,Unknown,Unknown
ICB,Unknown,Unknown,Unknown
IFX,Unknown,Unknown,Unknown
IMG,Unknown,Unknown,Unknown
IMX,Unknown,Unknown,Unknown
IMQ,Unknown,Unknown,Unknown
IMK,Unknown,Unknown,Unknown
IMN,Unknown,Unknown,Unknown
IMO,Unknown,Unknown,Unknown
INB,Unknown,Unknown,Unknown
INN,Unknown,Unknown,Unknown
INH,Unknown,Unknown,Unknown
KTD,Unknown,Unknown,Unknown
KFW,Unknown,Unknown,Unknown
KIG,Unknown,Unknown,Unknown
KOP,Unknown,Unknown,Unknown
LSF,Unknown,Unknown,Unknown
LCN,Unknown,Unknown,Unknown
LC1,Unknown,Unknown,Unknown
LO1,Unknown,Unknown,Unknown
MBL,Unknown,Unknown,Unknown
MHH,Unknown,Unknown,Unknown
MMM,Unknown,Unknown,Unknown
MBJ,Unknown,Unknown,Unknown
MDZ,Unknown,Unknown,Unknown
MPZ,Unknown,Unknown,Unknown
MZB,Unknown,Unknown,Unknown
MZA,Unknown,Unknown,Unknown
MZC,Unknown,Unknown,Unknown
MZF,Unknown,Unknown,Unknown
MZT,Unknown,Unknown,Unknown
MZ1,Unknown,Unknown,Unknown
MZ2,Unknown,Unknown,Unknown
ML7,Unknown,Unknown,Unknown
MXU,Unknown,Unknown,Unknown
NAF,Unknown,Unknown,Unknown
NAO,Unknown,Unknown,Unknown
NAH,Unknown,Unknown,Unknown
NAJ,Unknown,Unknown,Unknown
NRM,Unknown,Unknown,Unknown
NRO,Unknown,Unknown,Unknown
NSB,Unknown,Unknown,Unknown
NLH,Unknown,Unknown,Unknown
NIB,Unknown,Unknown,Unknown
NFN,Unknown,Unknown,Unknown
OCG,Unknown,Unknown,Unknown
PZM,Unknown,Unknown,Unknown
PVS,Unknown,Unknown,Unknown
PPZ,Unknown,Unknown,Unknown
P88,Unknown,Unknown,Unknown
POB,Unknown,Unknown,Unknown
POT,Unknown,Unknown,Unknown
PGL,Unknown,Unknown,Unknown
PUB,Unknown,Unknown,Unknown
PUG,Unknown,Unknown,Unknown
PUJ,Unknown,Unknown,Unknown
PUK,Unknown,Unknown,Unknown
PUO,Unknown,Unknown,Unknown
PUQ,Unknown,Unknown,Unknown
PUU,Unknown,Unknown,Unknown
PUV,Unknown,Unknown,Unknown
PUZ,Unknown,Unknown,Unknown
QNB,Unknown,Unknown,Unknown
QBC,Unknown,Unknown,Unknown
XQL,Unknown,Unknown,Unknown
RFR,Unknown,Unknown,Unknown
RZI,Unknown,Unknown,Unknown
RMM,Unknown,Unknown,Unknown
RMH,Unknown,Unknown,Unknown
RPL,Unknown,Unknown,Unknown
RT9,Unknown,Unknown,Unknown
RTC,Unknown,Unknown,Unknown
RMY,Unknown,Unknown,Unknown
RY8,Unknown,Unknown,Unknown
SFV,Unknown,Unknown,Unknown
SCW,Unknown,Unknown,Unknown
SCA,Unknown,Unknown,Unknown
S2G,Unknown,Unknown,Unknown
SAC,Unknown,Unknown,Unknown
WSC,Unknown,Unknown,Unknown
REK,Unknown,Unknown,Unknown
RDA,Unknown,Unknown,Unknown
WSH,Unknown,Unknown,Unknown
WSJ,Unknown,Unknown,Unknown
WSN,Unknown,Unknown,Unknown
WSO,Unknown,Unknown,Unknown
RFB,Unknown,Unknown,Unknown
HTB,Unknown,Unknown,Unknown
WSQ,Unknown,Unknown,Unknown
WSD,Unknown,Unknown,Unknown
WSZ,Unknown,Unknown,Unknown
WEK,Unknown,Unknown,Unknown
WEJ,Unknown,Unknown,Unknown
RFC,Unknown,Unknown,Unknown
SKO,Unknown,Unknown,Unknown
SHZ,Unknown,Unknown,Unknown
SMT,Unknown,Unknown,Unknown
SXB,Unknown,Unknown,Unknown
SS6,Unknown,Unknown,Unknown
SAZ,Unknown,Unknown,Unknown
SSF,Unknown,Unknown,Unknown
SS7,Unknown,Unknown,Unknown
SBX,Unknown,Unknown,Unknown
SFS,Unknown,Unknown,Unknown
SDC,Unknown,Unknown,Unknown
SBK,Unknown,Unknown,Unknown
TES,Unknown,Unknown,Unknown
TRB,Unknown,Unknown,Unknown
TRP,Unknown,Unknown,Unknown
TRK,Unknown,Unknown,Unknown
TOA,Unknown,Unknown,Unknown
TNB,Unknown,Unknown,Unknown
TNF,Unknown,Unknown,Unknown
TNH,Unknown,Unknown,Unknown
TOZ,Unknown,Unknown,Unknown
TNJ,Unknown,Unknown,Unknown
TTZ,Unknown,Unknown,Unknown
XVG,Unknown,Unknown,Unknown
TMG,Unknown,Unknown,Unknown
TT7,Unknown,Unknown,Unknown
UBL,Unknown,Unknown,Unknown
VCD,Unknown,Unknown,Unknown
VN8,Unknown,Unknown,Unknown
WGB,Unknown,Unknown,Unknown
WEH,Unknown,Unknown,Unknown
WEF,Unknown,Unknown,Unknown
WFB,Unknown,Unknown,Unknown
WOA,Unknown,Unknown,Unknown
ZGZ,Unknown,Unknown,Unknown
APN,Unknown,Unknown,Unknown
BTT,Unknown,Unknown,Unknown
CZA,Unknown,Unknown,Unknown
DYE,Unknown,Unknown,Unknown
FFT,Unknown,Unknown,Unknown
HFA,Unknown,Unknown,Unknown
HGG,Unknown,Unknown,Unknown
MBE,Unknown,Unknown,Unknown
MLB,Unknown,Unknown,Unknown
MQA,Unknown,Unknown,Unknown
PRR,Unknown,Unknown,Unknown
RCG,Unknown,Unknown,Unknown
SIP,Unknown,Unknown,Unknown
SKB,Unknown,Unknown,Unknown
TFC,Unknown,Unknown,Unknown
TIX,Unknown,Unknown,Unknown
TOF,Unknown,Unknown,Unknown
WIG,Unknown,Unknown,Unknown
ACK,Unknown,Unknown,Unknown
ACU,Unknown,Unknown,Unknown
AIK,Unknown,Unknown,Unknown
AKK,Unknown,Unknown,Unknown
ALR,Unknown,Unknown,Unknown
AOD,Unknown,Unknown,Unknown
APY,Unknown,Unknown,Unknown
AQU,Unknown,Unknown,Unknown
