,symbol,mean_actual_val,median_actual_val,mean_predicted_val,median_predicted_val,mae,mape,rsquared,explain_variance,medae,num_vals
0,KPO,-12.131674766540527,-6.2500481605529785,-10.212241172790527,-4.273677349090576,7.80253267288208,72.02795743942261,0.864597303465437,0.8681822419166565,5.233532428741455,399
0,KPR,-15.393087387084961,-12.500001907348633,-12.770543098449707,-6.247407913208008,9.730937004089355,55.963730812072754,0.8722294084847833,0.8766642212867737,6.059378623962402,260
0,KPT,-1.3910667896270752,0.0,0.42033496499061584,-0.060888439416885376,9.16382122039795,65.02019166946411,0.5005325754915151,0.5040638446807861,2.898009777069092,144
0,KRC,-10.975326538085938,-11.447416305541992,-8.485770225524902,-3.497666835784912,12.261321067810059,48.19048047065735,0.8295530542579451,0.8327900171279907,8.16804313659668,440
0,KRL,-5.3763747215271,-5.263158798217773,-2.6781256198883057,-2.5505530834198,8.866971015930176,67.50181317329407,0.7254278947918592,0.7344801425933838,4.973116397857666,335
0,KRM,-3.7737491130828857,0.0,-3.2322771549224854,0.056015342473983765,5.32670783996582,49.10338819026947,0.8651594187003422,0.8657888770103455,3.531055212020874,449
0,KRS,0.6272705793380737,2.737776517868042,1.0615251064300537,1.6381244659423828,5.146801948547363,52.48926877975464,0.8093340781897486,0.809952437877655,3.1305794715881348,253
0,KSC,0.7069119215011597,2.2990360260009766,1.0040725469589233,0.9248278141021729,3.3604307174682617,47.81856834888458,0.8376923100221524,0.8383140563964844,2.371110439300537,450
0,KSL,-1.5203605890274048,-0.9391583204269409,-0.4953491985797882,-0.39541494846343994,3.468730926513672,60.99978685379028,0.8083543668940928,0.8173317909240723,2.3208932876586914,134
0,KSN,-12.142681121826172,0.0,-8.258539199829102,-0.8094457983970642,12.5044584274292,90.3166115283966,0.7341180624550334,0.7436820268630981,6.19079065322876,323
0,KTA,-7.999177932739258,0.0,-7.031399726867676,-0.5813925862312317,11.543187141418457,91.74906611442566,0.7849702167243916,0.7857881784439087,8.118532180786133,125
0,KTE,-11.396492958068848,-10.000001907348633,-6.502269268035889,-2.680454730987549,12.616504669189453,65.68082571029663,0.6712140873950088,0.6921128034591675,7.883899688720703,301
0,KTL,-23.358596801757812,-11.041987419128418,-12.249425888061523,-5.0231146812438965,18.078706741333008,86.2024188041687,0.4251302052729019,0.49451202154159546,6.8334808349609375,55
0,KYK,-2.6298511028289795,-3.0302999019622803,-2.3649954795837402,-2.139148473739624,5.73512077331543,49.405843019485474,0.9038870344710594,0.904008150100708,5.092410087585449,62
