,explain_variance,mae,mape,mean_actual_val,mean_predicted_val,medae,median_actual_val,median_predicted_val,num_vals,r2,symbol
0,0.9639646319490718,7.4912966720858005,16.37938078987497,17.376766190002108,15.680273056030273,3.0905771255493253,-10.714285714285714,-10.481035232543945,49,0.9635054877011086,AHQ
0,0.9740562130649555,1.1675909581719732,14.49024667175589,-0.06879801801351007,0.12193859368562698,0.6675664177682741,3.448275862068969,3.4773008823394775,79,0.9738060687802573,AHX
0,0.9668318253329966,1.0282688412688308,16.589065245492773,2.291887577570981,2.251883029937744,0.7156981110131952,2.9368639909953043,2.9306681156158447,418,0.9668087053370649,AIA
0,0.9711873249806284,1.8199557916925724,15.74994679551559,-2.9004905901112825,-3.0592410564422607,1.0498775354956145,-2.8097190280971973,-1.975224256515503,195,0.9711124001249862,AIK
0,0.9912742617755543,6.1659737768131135,19.673009651476086,34.72769343468522,31.38121223449707,1.8388495574779782,-0.4196255648805678,-0.896571159362793,116,0.9909535736804864,AIR
0,0.9803378885682448,1.1512938997488504,15.06824911237433,1.6505025997532299,1.5029926300048828,0.6688421626345331,2.5023418533892485,2.513700008392334,480,0.9801986766041312,AJA
0,0.94573923869592,3.2819268167993507,17.16111124081967,1.980161573937824,0.9944322109222412,1.5940541057847533,-4.320483147679835,-3.978268623352051,456,0.9447608065848698,AJL
0,0.980861603701882,2.9946519911857075,13.921313300291038,1.0139746959659428,0.6440219879150391,1.7906644684927824,-7.692307692307692,-6.872002124786377,256,0.9807895185281514,AJQ
0,0.9054146821719986,3.3342363596561713,17.157841254684918,-1.0370521794159753,-1.3892961740493774,1.149195597361361,-4.000000000000004,-3.4017751216888428,117,0.90516255698636,AKF
0,0.9702943413080282,2.710518434897413,16.90584081153787,-1.2184659584068336,-2.0283219814300537,1.5087966340960932,-5.291375291375297,-4.444395542144775,180,0.9693070073748996,ALC
0,0.8746620328288567,1.440838923593026,20.39352627452252,1.0080448302369587,0.3756597936153412,0.46520678727294484,0.0,0.016729384660720825,70,0.8679609189546282,ALI
0,0.9297856232823667,3.0575055044351127,14.728596805307474,1.0765767323739723,0.6890175342559814,1.4582970692561101,-5.251141552511419,-4.798580169677734,405,0.9296634047066794,ALT
0,0.8833456703808282,6.142310873990398,18.057032369653882,12.24342053315132,8.408697128295898,1.5320794398967958,0.0,-0.3214280307292938,209,0.8818856726682689,ANO
