"symbol","previousClose","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio"
"CGL",4.97,,,"8/25/2016",0.01,0.002,"2017-02-03",4.98,5,4.98,5.8,3.01,232710000,,"ASX",2226,0.17,0.25,1.3,17810000,2.81,3.81,29.29,0,19.92,14.65,"0.00"
"CGN",0.04,,,,-0.003,-0.075,"2017-02-03",0.037,0.039,0.037,0.088,0.036,8950000,,"ASX",20020,-0.051,,0.097,-1400000,25.159,0.412,,0,,,"0.000"
"CGR",0.25,,,"3/22/2016",-0.025,-0.1,"2017-02-03",0.225,0.25,0.225,0.275,0.13,29270000,,"ASX",690959,0,0.02,0.112,5490000,1.201,2.232,,0,,,"0.000"
"CHC",4.65,,,"6/29/2016",0.03,0.006500000000000001,"2017-02-03",4.63,4.71,4.68,5.91,4.24,1930000000,,"ASX",1413876,0.52,0.33,3.21,235250000,5.59,1.45,9,2.44,14.18,14.18,"0.00"
"CHK",0.014,,,,0.003,0.21428999999999998,"2017-02-03",0.015,0.017,0.017,0.038,0.01,2800000,,"ASX",12376529,-0.009,,0.005,-1030000,661.438,2.8,,0,,,"0.000"
"CIA",1.07,,,,0.15,0.1402,"2017-02-03",1.11,1.23,1.22,1.34,0.13,470830000,,"ASX",219108,-0.05,-0.01,0.2,-12770000,2384.74,5.4,,0,,,"0.00"
"CIE",0.96,,,"2/17/2016",0.005,0.00521,"2017-02-03",0.965,0.97,0.965,1.05,0.91,,,"ASX",148151,,,0,"0.00",,,,0,,,"0.000"
"CIM",34.87,,,"9/12/2016",0.07,0.002,"2017-02-03",34.67,35.2,34.94,39.82,22.96,11520000000,,"ASX",204025,1.63,1.56,11.28,1270000000,1.09,3.09,21.4,15.86,22.25,20.92,"0.00"
"CIN",32.67,,,,-0.07,-0.0021,"2017-02-03",32.5,32.85,32.6,33,29.55,863050000,,"ASX",3122,1.58,,29.33,"0.00",19.98,1.11,20.65,0,,,"0.00"
"CIO",0.025,,,,-0.001,-0.04,"2017-02-03",0.024,0.026,0.024,0.026,0.024,18960000,,"ASX",1725041,-0.003,,0.01,-2620000,83.379,2.5,,0,,,"0.000"
"CIW",0.58,,,"9/15/2016",0,0,"2017-02-03",0.58,0.58,0.58,0.74,0.48,28430000,,"ASX",2000,0,,0.48,2020000,3.12,1.21,27.62,0,,,"0.00"
"CKA",0.016,,,,-0.001,-0.0625,"2017-02-03",0.015,0.016,0.015,0.07,0.013,8900000,,"ASX",6723386,-0.061,-0.03,0.04,-2430000,22.28,0.4,,0,,,"0.000"
"CKF",5.92,,,"12/7/2016",0.08,0.013500000000000002,"2017-02-03",5.96,6.03,6,6.73,3.49,575240000,,"ASX",129589,0.32,0.37,2.17,77420000,0.97,2.73,18.75,1.11,16.22,14.63,"0.00"
"CL1",2.65,,,"7/22/2016",-0.04,-0.0151,"2017-02-03",2.58,2.65,2.61,4.2,1.86,304900000,,"ASX",180075,0.05,0.07,0.16,8780000,13.62,16.46,56.74,1.25,37.29,29,"0.00"
"CLA",0.029,,,,0.002,0.06897,"2017-02-03",0.029,0.032,0.031,2,0.015,"50034.00",,"ASX",10836926,-0.393,0,-0.561,18090000,20.132,,,0,,,"0.000"
"CLH",1.31,8.18,0.09,"3/9/2016",-0.035,-0.02672,"2017-02-03",1.27,1.345,1.275,1.645,0.93,171470000,,"ASX",464278,0.139,0.15,1.341,39620000,1.328,0.977,9.173,5.22,8.5,7.969,"0.000"
"CLQ",0.665,,,,0.02,0.03008,"2017-02-03",0.68,0.73,0.685,0.73,0.115,299380000,,"ASX",2654180,-0.016,0.02,0.052,-5490000,199.89,12.788,,0,,,"0.000"
"CLV",0.51,,,"10/27/2016",0,0,"2017-02-03",0.51,0.51,0.51,0.69,0.25,84240000,,"ASX",211270,0.01,0.02,0.18,3260000,1.96,2.79,39.23,0.74,25.5,12.75,"0.00"
"CLW",3.9,,,,0.05,0.0128,"2017-02-03",3.86,3.97,3.95,4.29,3.6,,,"ASX",289911,,0.16,0,"0.00",,,,0,23.24,14.63,"0.00"
"CLY",0.005,,,,0,0,"2017-02-03",0.005,0.005,0.005,0.007,0.001,11790000,,"ASX",500000,-0.002,,0.001,-1320000,930.657,5,,0,,,"0.000"
"CLZ",0.008,,,,0.001,0.125,"2017-02-03",0.009,0.009,0.009,0.009,0.002,2930000,,"ASX",4227,0.007,,0.002,"-708335.00",1832.327,4,1.286,0,,,"0.000"
"CM8",0.11,,,,-0.005,-0.04545,"2017-02-03",0.105,0.105,0.105,0.3,0.08,18120000,,"ASX",22737,0.005,0.02,0.136,6310000,0.513,0.809,21,0,,,"0.000"
"CMA",2.2,,,"9/29/2016",-0.01,-0.0045000000000000005,"2017-02-03",2.18,2.37,2.19,2.4,1.96,,,"ASX",165609,0.22,0.19,0,"0.00",,,,0,11.53,11.53,"0.00"
"CMI",0.92,,,"8/24/2016",0.01,0.0109,"2017-02-03",0.92,0.93,0.93,1.35,0.79,32409999.999999996,,"ASX",35232,0.1,0.14,1.46,5100000,0.79,0.63,9.49,0,,,"0.00"
"CMP",0.66,,,"11/23/2004",0.01,0.0152,"2017-02-03",0.65,0.67,0.67,0.93,0.31,113120000,,"ASX",95544,0.02,0.04,0.09,3480000,2.97,7.67,35.26,0,16.75,9.57,"0.00"
"CMW",0.97,,,"9/29/2016",0.02,0.0206,"2017-02-03",0.98,0.99,0.99,1.12,0.88,1730000000,,"ASX",2218853,0.19,0.08,0,235000000,4.73,,5.27,-7.86,12.38,12.38,"0.00"
"CND",0.1,,,"3/5/2012",0,0,"2017-02-03",0.1,0.1,0.1,0.21,0.08,8960000,,"ASX",3872,-0.04,0.02,0.23,"-675000.00",0.05,0.43,,0,,,"0.00"
"CNI",1.15,,,"12/29/2016",0,0,"2017-02-03",1.14,1.16,1.15,1.17,0.9,88130000,,"ASX",278005,0.15,0.1,1.54,18440000,1.32,0.75,7.47,2.64,11.5,12.78,"0.00"
"CNJ",0.05,,,,0,0.0204,"2017-02-03",0.05,0.05,0.05,0.05,0.01,14760000,,"ASX",1407312,0,,0.05,"-407012.00",6882.45,0.98,,0,,,"0.00"
"CNU",3.94,,,"9/22/2016",0.03,0.0076,"2017-02-03",3.92,4,3.97,4.48,3.34,1590000000,,"ASX",234845,0.14,0.31,1.58,396210000,2.15,2.49,28.77,2.01,12.81,14.18,"0.00"
"CNW",0.02,,,,0.001,0.05,"2017-02-03",0.021,0.022,0.021,0.041,0.019,,,"ASX",731801,,,0,"0.00",,,,0,,,"0.000"
"COE",0.375,,,,0,0,"2017-02-03",0.375,0.385,0.375,0.385,0.126,163190000,,"ASX",389765,-0.102,0.02,0.21,-2069999.9999999998,8.056,1.786,,0,18.75,12.5,"0.000"
"COH",126.66,2.62,2.52,"9/7/2016",1.9,0.015,"2017-02-03",125.86,129.1,128.56,144.12,89.97,7350000000,,"ASX",159319,3.3,3.87,7.84,277050000,6.41,16.15,38.96,2.27,33.22,29.28,"0.00"
"COI",0.085,,,,0,0,"2017-02-03",0.084,0.085,0.085,0.097,0.05,44730000,,"ASX",1000000,-0.007,0,0.055,-1660000,1242.569,1.545,,0,,,"0.000"
"COO",0.063,,,"2/11/2015",0,0,"2017-02-03",0.063,0.063,0.063,0.135,0.056,16120000.000000002,,"ASX",51478,0,,0.078,1660000,1.034,0.808,,0,,,"0.000"
"COY",0.011,,,,0.001,0.09090999999999999,"2017-02-03",0.012,0.012,0.012,0.014,0.002,9130000,,"ASX",150000,-0.002,,0.015,"-453318.00",769.862,0.733,,0,,,"0.000"
"CPH",0.26,,,,-0.03,-0.11539999999999999,"2017-02-03",0.23,0.28,0.23,0.39,0.19,7300000,,"ASX",612451,0,,0,"-21000.00",67.38,260,,0,,,"0.00"
"CPU",12.92,3.05,0.28,"8/16/2016",-0.17,-0.0132,"2017-02-03",12.66,12.89,12.75,12.89,8.64,6970000000,,"ASX",2170801,0.28,0.54,2,428780000,3.6,6.45,44.74,2.45,23.61,21.25,"0.00"
"CQR",4.19,,,"6/29/2016",0,0,"2017-02-03",4.19,4.23,4.19,4.98,4.05,1690000000,,"ASX",575683,0.46,0.3,3.79,"0.00",6.88,1.11,9.17,5.28,13.97,13.09,"0.00"
"CR8",0.071,,,,-0.008,-0.11268,"2017-02-03",0.062,0.07,0.063,0.105,0.019,,,"ASX",9896571,0.013,,0,"-338858.00",,,,0,,,"0.000"
"CRB",0.12,,,,0,0,"2017-02-03",0.12,0.12,0.12,0.27,0.07,18840000,,"ASX",122390,-0.02,,0.01,-3820000,278.82,17.14,,0,,,"0.00"
"CSE",0.25,,,,0,0,"2017-02-03",0.25,0.25,0.25,0.52,0.22,26710000,,"ASX",2400,0,,0.46,"0.00",45,0.55,125,0,,,"0.00"
"CSL",112.11,1.89,1.57,"9/13/2016",0.26,0.0023,"2017-02-03",111.51,114.25,112.37,121.25,91.62,51310000000,,"ASX",780302,2.68,2.95,5.62,1640000000,8.66,19.94,41.88,1.72,38.09,31.56,"0.00"
"CSR",4.36,6.09,0.19,"11/11/2016",-0.03,-0.0069,"2017-02-03",4.3,4.37,4.33,4.72,2.41,2180000000,,"ASX",3847755,0.35,0.37,2.44,316100000,0.92,1.79,12.27,1.63,11.7,12.74,"0.00"
"CSS",0.035,,,,-0.001,-0.02857,"2017-02-03",0.034,0.034,0.034,0.054,0.029,37580000,,"ASX",685700,-0.008,0,0.039,-8020000,1.286,0.897,,0,,,"0.000"
"CSV",0.775,,,"8/19/2016",-0.01,-0.0129,"2017-02-03",0.76,0.78,0.765,1.745,0.675,244090000,,"ASX",234601,0.054,0.08,0.861,48360000,1.003,0.9,14.167,0.7,9.562,8.5,"0.000"
"CTD",17.11,2.03,0.26,"3/4/2016",-0.04,-0.0023,"2017-02-03",17.06,17.38,17.07,19.15,10.87,1670000000,,"ASX",337286,0.43,0.59,2.62,69200000,6.34,6.53,39.88,82.47,28.93,23.38,"0.00"
"CTL",0.02,,,,-0.002,-0.1,"2017-02-03",0.018,0.02,0.018,0.042,0.018,12700000,,"ASX",300000,-0.003,,0.056,-1220000,72.886,0.357,,0,,,"0.000"
"CTM",0.007,,,,0,0,"2017-02-03",0.007,0.007,0.007,0.022,0.003,4620000,,"ASX",3205569,-0.001,-0.03,0.006,"-786617.00",,1.167,,0,,,"0.000"
"CTN",1.09,,,,0.005,0.00459,"2017-02-03",1.09,1.11,1.095,1.2,0.885,,,"ASX",80233,0.107,,0,"0.00",,,,0,,,"0.000"
"CTO",0.011,,,,0,0,"2017-02-03",0.011,0.012,0.011,0.02,0.01,19650000,,"ASX",266435,-0.005,,0.052,-4800000,,0.212,,0,,,"0.000"
"CTP",0.19,,,,-0.005,-0.02632,"2017-02-03",0.185,0.19,0.185,0.21,0.08,80140000,,"ASX",504255,-0.052,-0.01,0.038,-1860000,3.449,5,,0,,,"0.000"
"CTX",28.45,5.85,1.31,"9/7/2016",0.18,0.0063,"2017-02-03",28.5,28.74,28.63,38.12,28.43,7470000000,,"ASX",938184,1.74,1.98,10.04,941140000,0.39,2.83,16.5,2.4,14.46,13.07,"0.00"
"CUA",2.19,,,"12/29/2016",0,0,"2017-02-03",2.17,2.2,2.19,2.35,1.96,160480000000,,"ASX",41866,,,0,"0.00",,,,0,,,"0.00"
"CUE",0.084,,,,0.001,0.011899999999999999,"2017-02-03",0.084,0.085,0.085,0.105,0.045,59340000,,"ASX",126640,-0.124,0.01,0.062,2740000,1.291,1.355,,0,,,"0.000"
"CUL",0.002,,,,0.001,0.5,"2017-02-03",0.003,0.003,0.003,0.006,0.002,5700000,,"ASX",23109340,-0.001,,0.003,"-818295.00",30.944,0.667,,0,,,"0.000"
"CUP",0.82,,,"1/18/2017",0,0.0060999999999999995,"2017-02-03",0.83,0.83,0.83,0.95,0.55,91650000,,"ASX",6186,0.12,0.13,0.54,10370000,0.76,1.53,6.86,0,,,"0.00"
"CUV",7.41,,,,0.01,0.0013,"2017-02-03",7.41,7.45,7.42,9.19,2.81,349330000,,"ASX",55057,-0.07,-0.26,0.38,-3520000,51.15,19.6,,0,,,"0.00"
"CUX",0.007,,,,0,0,"2017-02-03",0.007,0.007,0.007,0.009,0.004,2470000,,"ASX",738631,-0.006,,0.009,"-596081.00",61.866,0.778,,0,,,"0.000"
"CV1",0.096,,,,-0.002,-0.02083,"2017-02-03",0.094,0.095,0.094,0.447,0.068,18720000,,"ASX",32000,-0.059,-0.03,0.024,-10800000,2.688,4,,0,,,"0.000"
"CVC",1.86,,,"9/2/2016",-0.01,-0.0054,"2017-02-03",1.85,1.86,1.85,1.93,1.35,221130000,,"ASX",6070,0.12,,1.68,35810000,1.5,1.11,16.09,0,,,"0.00"
"CVN",0.1,,,,0,0.0204,"2017-02-03",0.1,0.1,0.1,0.15,0.07,101990000,,"ASX",937379,0,0,0.13,-6080000,,0.74,,0,,,"0.00"
"CVO",1.92,,,"8/25/2016",0,-0.0026,"2017-02-03",1.92,1.93,1.92,2.05,1.11,609700000,,"ASX",4602488,0.06,0.08,0.63,38100000,2.77,3.08,32.54,1.8,24,19.2,"0.00"
"CVT",0.088,,,,-0.006,-0.06817999999999999,"2017-02-03",0.077,0.085,0.082,0.46,0.071,43130000,,"ASX",1559212,-0.031,-0.03,0.017,-14100000,129.233,5.176,,0,,,"0.000"
"CVW",1.32,,,"9/15/2016",-0.01,-0.0076,"2017-02-03",1.31,1.32,1.31,1.44,0.84,782630000,,"ASX",10048,0.04,0.06,0.69,59720000,2.71,1.92,30.47,4.63,21.83,18.71,"0.00"
"CWN",11.27,0,0,"9/22/2016",-0.12,-0.0106,"2017-02-03",11.11,11.31,11.15,14.06,10.31,8119999999.999999,,"ASX",1534869,1.3,0.54,6.95,874600000,2.27,1.62,8.56,2.85,20.65,18.9,"0.00"
"CWP",5.34,,,"3/30/2016",-0.04,-0.0075,"2017-02-03",5.22,5.34,5.3,5.6,3.91,418120000,,"ASX",28859,0.55,0.56,3.89,67090000,2.42,1.37,9.58,1.1,9.46,8.55,"0.00"
"CWY",1.13,,,"9/20/2016",0,0.0044,"2017-02-03",1.12,1.14,1.14,1.26,0.68,1810000000,,"ASX",3400350,0.03,0.04,1.12,254870000,1.24,1.01,40.71,0,,,"0.00"
"CXM",0.07,,,,0.001,0.01429,"2017-02-03",0.067,0.073,0.071,0.097,0.06,22400000,,"ASX",2853714,-0.016,,0.109,-1770000,,0.642,,0,,,"0.000"
"CXO",0.088,,,,0.004,0.04545,"2017-02-03",0.089,0.093,0.092,0.15,0.012,25030000,,"ASX",15158713,-0.009,,0.03,"-929637.00",1078.841,2.933,,0,,,"0.000"
"CXX",0.27,,,,-0.01,-0.037000000000000005,"2017-02-03",0.26,0.26,0.26,0.34,0.16,42830000,,"ASX",120380,-0.07,0,0.14,-1130000,4647.47,1.89,,0,,,"0.00"
"CYB",4.62,,,,0.02,0.0043,"2017-02-03",4.59,4.66,4.64,5.86,3.5,577420000,,"ASX",4498074,-0.31,17.53,0.35,"-686496.00",491.18,13.28,,0.34,0.26,0.23,"0.00"
"CYC",0.95,,,"9/2/2016",-0.04,-0.0421,"2017-02-03",0.91,0.92,0.91,1.46,0.52,54230000,,"ASX",9550,0.08,,0.21,2710000,4.05,4.59,10.83,0,,,"0.00"
"CYG",0.86,,,"10/9/2015",0,0,"2017-02-03",0.86,0.86,0.86,1.35,0.82,32540000,,"ASX",696,-0.08,0.15,2.54,-4640000,0.18,0.34,,0,,,"0.00"
"CYP",0.58,,,,0.02,0.0345,"2017-02-03",0.59,0.62,0.6,0.81,0.26,43640000,,"ASX",419663,-0.07,-0.11,0.12,-4800000,38.36,4.92,,0,,,"0.00"
"CYQ",0.04,,,,0,-0.024399999999999998,"2017-02-03",0.04,0.04,0.04,0.05,0.03,,,"ASX",843353,,,0,-1440000,,,,0,,,"0.00"
"CYY",0.02,,,,-0.001,-0.05,"2017-02-03",0.019,0.02,0.019,0.062,0.013,7670000,,"ASX",150000,-0.004,,0.013,"-902549.00",,1.538,,0,,,"0.000"
"CZA",0.046,,,,-0.001,-0.02174,"2017-02-03",0.045,0.047,0.045,0.1,0.01,86720000,,"ASX",41666,-0.012,-0.01,0.122,-11240000,,0.377,,0,,,"0.000"
"CZI",0.06,,,,0,-0.0323,"2017-02-03",0.06,0.06,0.06,0.07,0.02,13250000,,"ASX",215662,-0.01,-1.9,0.05,-2330000,1412.22,1.29,,0,,,"0.00"
"CZL",0.03,,,,0,0.07139999999999999,"2017-02-03",0.03,0.03,0.03,0.06,0.03,12890000,,"ASX",2869253,-0.01,,0.03,-1170000,,1,,0,,,"0.00"
"CZN",0.015,,,,0.001,0.06667,"2017-02-03",0.015,0.016,0.016,0.03,0.003,10380000,,"ASX",2184227,-0.002,,0.003,"-732814.00",,5,,0,,,"0.000"
"CZZ",16.01,0,0,"6/29/2016",-0.24,-0.015,"2017-02-03",14.56,16.5,15.77,23.19,14.56,149140000,,"ASX",60714,1.1,1.2,5.9,16200000,1.13,2.72,14.31,0.8,13.14,11.18,"0.00"
"D13",0.12,,,,0,0,"2017-02-03",0.12,0.12,0.12,0.17,0.06,56180000,,"ASX",299004,-0.03,,0,-3990000,142.4,24,,0,,,"0.00"
"D2O",1.06,,,,0,0,"2017-02-03",1.06,1.06,1.06,1.1,0.96,,,"ASX",43000,,,0,"0.00",,,,0,,,"0.00"
"DAU",0.028,,,,0,0,"2017-02-03",0.028,0.028,0.028,0.047,0.014,2680000,,"ASX",70000,-0.011,,0.022,"-780291.00",51.653,1.273,,0,,,"0.000"
"DAV",0.18,,,,0.01,0.0556,"2017-02-03",0.19,0.19,0.19,0.19,0.16,14060000000,,"ASX",15310,0.23,,0,"0.00",,,,0,,,"0.00"
"DCC",0.046,,,"8/24/2005",-0.005,-0.10869999999999999,"2017-02-03",0.038,0.044,0.041,0.22,0.034,7740000,,"ASX",1953155,-0.019,0.01,0.009,-2830000,0.226,5.111,,0,,,"0.000"
"DCG",1,,,"9/1/2016",0,0,"2017-02-03",1,1.03,1,1.31,0.65,169890000,,"ASX",74340,-0.34,0.09,1.44,9400000,0.57,0.7,,-0.66,11.11,11.11,"0.00"
"DCL",0.21,,,,0.01,0.047599999999999996,"2017-02-03",0.22,0.22,0.22,0.7,0.2,24510000000,,"ASX",62499,-0.06,,0.05,-5980000,24473.51,4.04,,0,,,"0.00"
"DCN",2.39,,,,-0.03,-0.0126,"2017-02-03",2.3,2.44,2.36,4,0.85,314600000,,"ASX",327147,-0.19,-0.05,0.1,-21780000,958.45,24.14,,0,,29.5,"0.00"
"DDD",0.004,,,,0,0,"2017-02-03",0.004,0.004,0.004,0.007,0.002,1110000,,"ASX",1650000,-0.004,,0.002,"-287160.00",550.162,2,,0,,,"0.000"
"DDR",2.44,,,"12/6/2016",-0.03,-0.0123,"2017-02-03",2.41,2.51,2.41,2.51,1.35,384770000,,"ASX",66306,0.15,0.16,0.46,43320000,0.34,5.36,16.39,0,,,"0.00"
"DDT",0.015,,,,-0.001,-0.06667,"2017-02-03",0.014,0.015,0.014,0.024,0.01,10650000,,"ASX",298670,-0.004,,0.008,-2140000,1.721,1.875,,0,,,"0.000"
"DFM",0.815,,,"3/31/2016",0.02,0.024540000000000003,"2017-02-03",0.8,0.86,0.835,2.49,0.74,328980000,,"ASX",54713,0.146,,0.558,59550000,2.366,1.461,5.759,0,,,"0.000"
"DGH",0.91,,,"9/21/2016",0,0,"2017-02-03",0.91,0.91,0.91,0.91,0.67,33580000,,"ASX",412,0.14,,0.83,5610000,1.08,1.1,6.64,0,,,"0.00"
"DGR",0.105,,,,0.01,0.09523999999999999,"2017-02-03",0.115,0.12,0.115,0.12,0.024,63350000,,"ASX",1630676,0.001,,0.079,"-803699.00",16.845,1.329,115,0,,,"0.000"
"DHR",0.01,,,,0,0,"2017-02-03",0.01,0.01,0.01,0.02,0,7800000,,"ASX",200000,0,,0,"-837670.00",288.73,10,,0,,,"0.00"
"DIG",0.4,,,,-0.05,-0.125,"2017-02-03",0.35,0.35,0.35,0.65,0.2,41430000,,"ASX",9800,-0.1,0,0.08,-6430000,0.86,5.13,,0,,,"0.00"
"DJW",3.75,,,,-0.07,-0.0187,"2017-02-03",3.68,3.75,3.68,4.24,3.5,804410000,,"ASX",68629,0.15,,3.29,"0.00",19.24,1.14,25.21,0,,,"0.00"
"DKM",0.165,,,,0,0,"2017-02-03",0.165,0.175,0.165,0.3,0.07,13620000,,"ASX",195729,-0.02,,0.059,-1750000,,2.797,,0,,,"0.000"
"DKO",0.056,,,,-0.001,-0.01786,"2017-02-03",0.055,0.057,0.055,0.275,0.048,17620000,,"ASX",828525,-0.013,,0.061,-1980000,,0.918,,0,,,"0.000"
"DLX",6.1,,,"11/16/2016",-0.04,-0.0066,"2017-02-03",6.02,6.11,6.06,6.78,5.76,2320000000,,"ASX",1462587,0.34,0.35,0.95,229790000,1.36,6.39,18.09,6.55,17.31,16.83,"0.00"
"DME",0.28,,,,0,0,"2017-02-03",0.25,0.28,0.28,0.47,0.12,66489999.99999999,,"ASX",85000,-0.01,-0.7,0.12,-1450000,,2.35,,0,,,"0.00"
"DMI",0.05,,,,0,0.0909,"2017-02-03",0.06,0.06,0.06,0.09,0.03,2190000,,"ASX",110000,-0.01,,0.03,"-377539.00",,1.72,,0,,,"0.00"
"DMP",59.84,1.53,0.73,"8/22/2016",1.47,0.0246,"2017-02-03",59.78,61.99,61.31,80.69,48.54,5370000000,,"ASX",455399,0.92,1.4,4.5,160390000,5.68,13.29,66.5,1.32,43.79,34.06,"0.00"
"DN8",0.22,,,,-0.005,-0.02273,"2017-02-03",0.215,0.22,0.215,0.22,0.215,73960000,,"ASX",26315,0.01,0.03,-0.021,4600000,1.764,,21.5,0,,,"0.000"
"DNA",0.37,,,"10/4/2016",0.02,0.0541,"2017-02-03",0.37,0.39,0.39,0.77,0.35,324170000,,"ASX",901299,0.09,0.08,0.57,87890000,2.14,0.64,4.11,0.1,4.88,4.33,"0.00"
"DNK",0.78,,,,-0.005,-0.00641,"2017-02-03",0.755,0.82,0.775,0.82,0.205,155540000,,"ASX",786762,-0.031,-1.1,0.133,-1830000,,5.865,,0,,,"0.000"
"DOW",7.07,,,"8/17/2016",-0.21,-0.0297,"2017-02-03",6.83,6.98,6.86,6.98,2.77,3050000000,,"ASX",2879920,0.38,0.38,4.77,521200000.00000006,0.45,1.48,17.19,-16.63,17.59,16.73,"0.00"
"DRA",0.28,,,,-0.03,-0.0909,"2017-02-03",0.25,0.27,0.25,0.38,0.14,22210000,,"ASX",31000,0.04,0.34,0.36,8070000,0.36,0.76,6.58,0,,,"0.00"
"DRG",0.03,,,,0.002,0.06667,"2017-02-03",0.03,0.032,0.032,0.05,0.02,3420000,,"ASX",261802,-0.008,,0.018,"-652661.00",,1.667,,0,,,"0.000"
"DRM",0.44,,,,0,0.0115,"2017-02-03",0.44,0.44,0.44,1.25,0.41,136740000,,"ASX",947753,0.05,0.02,0.58,62710000,1.03,0.75,8,0,14.67,7.33,"0.00"
"DRO",0.49,,,,-0.03,-0.051500000000000004,"2017-02-03",0.46,0.5,0.46,0.52,0.17,62100000,,"ASX",305602,,,0.04,"0.00",14264.71,11.83,,0,,,"0.00"
"DRX",0.013,,,,0,0,"2017-02-03",0.013,0.013,0.013,0.018,0.008,10530000,,"ASX",89261,-0.003,-0.48,0.014,-1440000,102.676,0.929,,0,,,"0.000"
"DSE",0.09,,,,-0.002,-0.02222,"2017-02-03",0.088,0.088,0.088,0.303,0.06,1850000,,"ASX",20200,-0.731,,-0.026,-1110000,,,,0,,,"0.000"
"DSX",0.057,,,,-0.002,-0.035089999999999996,"2017-02-03",0.055,0.055,0.055,0.071,0.04,12620000,,"ASX",209823,-0.02,,0.014,-3950000,11.379,4.071,,0,,,"0.000"
"DTI",0.42,,,,0,0,"2017-02-03",0.42,0.42,0.42,0.52,0.21,38480000,,"ASX",25268,0,0.03,0.16,3240000,2.37,2.62,,0,14,10.5,"0.00"
"DTL",1.75,,,"3/16/2016",-0.01,-0.005699999999999999,"2017-02-03",1.73,1.77,1.74,1.82,0.95,267910000.00000003,,"ASX",129937,0.09,0.1,0.26,19820000,0.27,6.76,19.33,1.59,17.4,15.82,"0.00"
"DTM",0.007,,,,0,0,"2017-02-03",0.007,0.007,0.007,0.021,0.007,2100000,,"ASX",161000,-0.003,,0.028,"-628399.00",7.327,0.25,,0,,,"0.000"
"DTR",0.038,,,,-0.001,-0.02632,"2017-02-03",0.037,0.038,0.037,0.038,0.01,3750000,,"ASX",273560,-0.007,,0.038,"-374516.00",,1,,0,,,"0.000"
"DTS",0.32,,,,0.01,0.0154,"2017-02-03",0.32,0.35,0.33,0.35,0.19,"175230.00",,"ASX",672837,-1.57,,1.55,"-720973.00",1.59,0.21,,0,,,"0.00"
"DTX",0.25,,,,-0.01,-0.04,"2017-02-03",0.24,0.25,0.24,0.7,0.2,6970000,,"ASX",32500,-0.1,,0.28,-2440000,32.54,0.88,,0,,,"0.00"
"DTZ",0.32,,,,-0.01,-0.031200000000000002,"2017-02-03",0.31,0.32,0.31,0.49,0.31,,,"ASX",202556,,,0,"0.00",,,,0,,,"0.00"
"DUB",0.37,,,"11/27/2008",0.01,0.027000000000000003,"2017-02-03",0.37,0.38,0.38,0.87,0.35,30370000,,"ASX",251924,-0.13,,0.14,-8029999.999999999,64.61,2.72,,0,,,"0.00"
"DUE",2.77,6.37,0.13,"6/29/2016",-0.03,-0.0108,"2017-02-03",2.74,2.78,2.74,2.94,2.12,6670000000,,"ASX",4303515,0.09,0.1,1.37,942420000,4.2,2.03,31.86,4.1,27.4,24.91,"0.00"
"DUI",3.56,,,,0,0,"2017-02-03",3.55,3.57,3.56,3.57,3.11,738760000,,"ASX",38128,0.15,,3.14,"0.00",20.3,1.13,24.22,0,,,"0.00"
"DVL",0.48,,,,-0.02,-0.0417,"2017-02-03",0.46,0.48,0.46,0.6,0.25,68960000,,"ASX",100454,-0.04,-0.02,0.06,-5720000,23.83,8.42,,0,,46,"0.00"
"DVN",0.46,,,"9/13/2012",-0.01,-0.011000000000000001,"2017-02-03",0.45,0.45,0.45,0.68,0.42,71430000,,"ASX",1927,-0.41,0.07,1.16,-51950000,0.34,0.39,,0,,,"0.00"
"DWS",1.46,,,"9/1/2016",0.06,0.041100000000000005,"2017-02-03",1.45,1.52,1.52,1.52,0.98,200380000,,"ASX",173492,0.13,0.13,0.5,25390000,1.32,2.95,11.97,-6.76,11.69,10.86,"0.00"
"DXB",0.008,,,"9/24/1999",0,0,"2017-02-03",0.008,0.008,0.008,0.017,0.004,11790000,,"ASX",1120006,-0.004,,0.002,-1280000,19.318,4,,0,,,"0.000"
"DXS",9.01,4.72,0.31,"6/29/2016",0.09,0.01,"2017-02-03",8.96,9.14,9.1,9.89,7.09,8810000000,,"ASX",3178854,1.3,0.58,7.85,1140000000,5.82,1.15,6.99,12.38,15.69,15.69,"0.00"
"DYE",0.22,,,,0,-0.0222,"2017-02-03",0.22,0.22,0.22,0.28,0.18,81580000,,"ASX",124878,-0.03,-0.02,0.02,-12170000,81.43,9.78,,0,,,"0.00"
"DYL",0.023,,,,-0.002,-0.08696,"2017-02-03",0.021,0.023,0.021,0.032,0.003,45030000,,"ASX",8372344,-0.001,,0.026,-1680000,,0.885,,0,,,"0.000"
"EAI",0.86,,,,0.005,0.005809999999999999,"2017-02-03",0.845,0.865,0.865,0.9,0.715,103800000000,,"ASX",144500,,,0,"0.00",,,,0,,,"0.000"
