"symbol","previousClose","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio"
"AAP",0.035,,,,0.006,0.17143,"2017-02-03",0.04,0.043,0.041,0.043,0.021,6250000,,"ASX",502723,0.002,,0.036,"818491.00",1.541,0.972,20.5,0,,,"0.000"
"AAR",0.018,,,,0,0,"2017-02-03",0.018,0.018,0.018,0.027,0.005,4050000,,"ASX",147844,-0.002,,0.007,"-391285.00",,2.571,,0,,,"0.000"
"AAU",0.01,,,"9/14/2012",0,0,"2017-02-03",0.01,0.01,0.01,0.03,0.01,1820000,,"ASX",75256,0,0.02,0.01,"-142000.00",0.12,0.83,,0,,,"0.00"
"ABA",5.3,,,"3/3/2016",0.04,0.0075,"2017-02-03",5.25,5.34,5.34,5.46,4.8,214940000,,"ASX",14420,0.31,0.4,5.38,"0.00",3.36,0.98,17.12,4.42,13.35,12.14,"0.00"
"ABC",5.17,0,0,"9/14/2016",0.03,0.0058,"2017-02-03",5.15,5.22,5.2,5.99,4.49,3370000000,,"ASX",969135,0.31,0.3,1.83,308900000,2.36,2.83,16.77,8.09,17.33,16.77,"0.00"
"ABL",0.009,,,,-0.001,-0.11111,"2017-02-03",0.008,0.008,0.008,0.016,0.007,3180000,,"ASX",5346,-0.003,,0.011,"-385641.00",12.209,0.818,,0,,,"0.000"
"ABP",2.81,,,"1/17/2017",0,0,"2017-02-03",2.81,2.84,2.81,3.38,2.67,1580000000,,"ASX",523694,0.34,0.24,2.72,185790000,5.11,1.03,8.39,5.88,11.71,9.69,"0.00"
"ABT",0.55,,,,0,0,"2017-02-03",0.55,0.55,0.55,1.01,0.45,25580000,,"ASX",1210,-0.09,,0.09,"-783913.00",45.28,6.47,,0,,,"0.00"
"ABU",0.12,,,,0,0,"2017-02-03",0.12,0.12,0.12,0.17,0.03,45020000,,"ASX",16200,-0.06,0.11,0.06,1670000,1.25,2.07,,0,,,"0.00"
"ABV",0.007,,,,0,0,"2017-02-03",0.007,0.007,0.007,0.011,0.006,15400000,,"ASX",4250000,-0.001,,0.001,-1180000,3.41,7,,0,,,"0.000"
"ABX",0.14,,,,0,0,"2017-02-03",0.14,0.15,0.14,0.25,0.1,19900000,,"ASX",275510,0,,0.12,"612333.00",4.22,1.12,46.67,0,,,"0.00"
"AC8",0.24,,,,-0.02,-0.0833,"2017-02-03",0.21,0.32,0.22,0.32,0.21,47600000000,,"ASX",7222350,,,0,"0.00",,,,0,,,"0.00"
"ACB",0.072,,,,0.002,0.02778,"2017-02-03",0.074,0.075,0.074,0.105,0.013,54470000,,"ASX",170087,-0.002,0,0.073,-1250000,1740.213,0.986,,0,,,"0.000"
"ACG",0.07,,,,0,0.0294,"2017-02-03",0.07,0.07,0.07,0.2,0.06,14120000,,"ASX",120000,-0.02,-0.01,0.02,-5270000,2.73,4.25,,0,,,"0.00"
"ACK",0.65,,,"9/5/2016",0.01,0.0154,"2017-02-03",0.66,0.66,0.66,0.7,0.38,68100000,,"ASX",3300,0.02,0.01,0.08,-1670000,8.77,7.83,31.43,1.41,66,66,"0.00"
"ACL",0.012,,,,0,0,"2017-02-03",0.012,0.012,0.012,0.1,0.006,3900000,,"ASX",162594,0.066,-0.05,0.008,22100000,0.155,1.5,0.182,0,,,"0.000"
"ACQ",1.02,,,,0,0.0049,"2017-02-03",1.02,1.03,1.03,1.09,0.77,,,"ASX",126336,,,0,"0.00",,,,0,,,"0.00"
"ACR",0.32,0,0,"8/18/2015",-0.01,-0.031200000000000002,"2017-02-03",0.31,0.32,0.31,0.83,0.3,51620000,,"ASX",730992,0.08,0.03,0.26,19020000,1.87,1.21,3.97,1.4,10.33,,"0.00"
"ACU",0.023,,,,0.005,0.21739,"2017-02-03",0.024,0.03,0.028,0.084,0.019,5090000,,"ASX",1238053,-0.041,,0.008,-6640000,139.79,2.875,,0,,,"0.000"
"ACW",0.057,,,,-0.001,-0.01754,"2017-02-03",0.053,0.056,0.056,0.1,0.036,33970000,,"ASX",1864941,-0.006,,0.02,-3260000,8.748,2.85,,0,,,"0.000"
"ACX",2.92,,,,0.16,0.0548,"2017-02-03",2.95,3.09,3.08,8.75,2.95,506200000,,"ASX",3237354,0.03,0.05,0.58,9410000,3.89,5.04,102.67,6.43,61.6,34.22,"0.00"
"ADA",2.38,1.68,0.03,"3/16/2016",0.13,0.056799999999999996,"2017-02-03",2.39,2.52,2.51,3.55,1.8,198960000,,"ASX",141667,0.12,,0.26,11870000,3.93,9.28,21.64,0,,,"0.00"
"ADH",1.35,,,"3/15/2016",-0.02,-0.0148,"2017-02-03",1.23,1.37,1.33,2.75,1.23,220610000,,"ASX",3026967,0.16,0.13,0.58,45090000,0.88,2.34,8.11,0.79,10.23,8.31,"0.00"
"ADJ",0.085,,,,0,0,"2017-02-03",0.083,0.085,0.085,0.159,0.08,94630000,,"ASX",1802784,-0.008,,0.028,-4030000.0000000005,12.234,3.036,,0,,,"0.000"
"ADN",0.011,,,,0,0,"2017-02-03",0.011,0.011,0.011,0.027,0.006,3870000,,"ASX",36273,-0.012,,0.027,"-870486.00",250.291,0.407,,0,,,"0.000"
"ADO",0.04,,,,-0.002,-0.05,"2017-02-03",0.037,0.039,0.038,0.074,0.037,43090000,,"ASX",607868,-0.005,,0.01,-3380000,5.075,4,,0,,,"0.000"
"ADR",0.21,,,,0,0,"2017-02-03",0.21,0.23,0.21,0.6,0.11,35490000,,"ASX",268445,-0.05,-0.06,0.18,-6330000,16.89,1.15,,0,,,"0.00"
"ADV",0.029,,,,-0.001,-0.03448,"2017-02-03",0.028,0.029,0.028,0.053,0.016,,,"ASX",2309017,-0.001,,0,"0.00",,,,0,,,"0.000"
"ADX",0.017,,,,0,0,"2017-02-03",0.017,0.017,0.017,0.017,0.003,13200000,,"ASX",18000,-0.002,0,0.001,-1900000,2376.812,17,,0,,,"0.000"
"AEB",0.046,,,,0,0,"2017-02-03",0.046,0.05,0.046,0.078,0.042,15690000,,"ASX",102000,-0.01,,-0.002,-3170000,,,,0,,,"0.000"
"AEE",0.038,,,,-0.002,-0.052629999999999996,"2017-02-03",0.036,0.038,0.036,0.043,0.013,25610000,,"ASX",3521272,-0.004,-1,0.03,-1520000,5508.482,1.267,,0,,,"0.000"
"AEG",1.04,,,,-0.01,-0.0096,"2017-02-03",1.03,1.05,1.03,1.37,0.99,,,"ASX",55700,-0.02,,0,"0.00",,,,0,,,"0.00"
"AEV",0.12,,,,-0.01,-0.0435,"2017-02-03",0.11,0.12,0.11,0.26,0.1,57950000,,"ASX",324590,-0.02,,0.12,-5400000,89.04,0.93,,0,,,"0.00"
"AFG",1.395,,,"9/2/2016",-0.003,-0.00215,"2017-02-03",1.385,1.42,1.392,1.42,0.905,,,"ASX",217211,0.11,0.11,0,"0.00",,,,0,,,"0.000"
"AFI",5.96,,,,0.02,0.0034000000000000002,"2017-02-03",5.95,5.98,5.98,5.98,5.32,6800000000,,"ASX",382920,0.21,,5.01,"0.00",24.87,1.19,28.48,0,,,"0.00"
"AFR",0.038,,,,0,0,"2017-02-03",0.038,0.039,0.038,0.058,0.031,23050000,,"ASX",111400,-0.003,-1.15,0.031,-1420000,188.68,1.226,,0,,,"0.000"
"AFY",2.64,,,,0.01,0.0038,"2017-02-03",2.63,2.65,2.65,3.14,1.05,,,"ASX",73554,,-0.01,0,"0.00",,,,0,,53,"0.00"
"AGD",0.15,,,,0.025,0.16667,"2017-02-03",0.175,0.175,0.175,0.23,0.12,90820000,,"ASX",10000,0.039,,0.176,5250000,1.393,0.852,4.487,0,,,"0.000"
"AGE",0.017,,,,0.001,0.05882,"2017-02-03",0.017,0.018,0.018,0.024,0.008,6480000,,"ASX",815000,-0.028,,0.037,"-955067.00",,0.459,,0,,,"0.000"
"AGG",3.49,,,"5/27/2013",-0.14,-0.0401,"2017-02-03",3.35,3.5,3.35,5.93,2.28,1370000000,,"ASX",3650,0.27,0.89,6.45,1210000000,0.36,0.54,12.5,0.02,3.76,3.02,"0.00"
"AGI",1.795,8.5,0.11,"2/26/2016",-0.02,-0.01114,"2017-02-03",1.775,1.81,1.775,2.64,1.6,581700000,,"ASX",241584,0.169,0.14,0.964,88920000,2.061,1.862,10.503,0.65,12.679,10.441,"0.000"
"AGL",23.15,4.49,0.73,"8/24/2016",0.31,0.0134,"2017-02-03",23.04,23.47,23.46,23.47,16.51,15830000000,,"ASX",1565782,-0.61,1.16,11.73,1650000000,1.4,1.97,,1.67,20.22,17.64,"0.00"
"AGO",0.044,0,0,"9/10/2014",-0.003,-0.06817999999999999,"2017-02-03",0.041,0.045,0.041,0.05,0.008,368830000,,"ASX",110554537,-0.045,0,0.03,60360000,0.504,1.467,,0,,,"0.000"
"AGR",0.084,,,,0.001,0.011899999999999999,"2017-02-03",0.079,0.085,0.085,0.145,0.075,31180000,,"ASX",851086,-0.016,,0.066,-2300000,523.524,1.273,,0,,,"0.000"
"AGS",0.099,,,,-0.005,-0.05051,"2017-02-03",0.093,0.096,0.094,0.196,0.022,9800000,,"ASX",290342,0.464,,0.238,-1030000,14.833,0.416,0.203,0,,,"0.000"
"AGY",0.03,,,,0,-0.0625,"2017-02-03",0.03,0.03,0.03,0.05,0,15430000,,"ASX",1806338,0,,0,"0.00",4174.05,16,,0,,,"0.00"
"AHF",0.16,,,,0,0,"2017-02-03",0.16,0.17,0.16,0.35,0.16,29280000,,"ASX",62825,-0.01,0,0.04,-1470000,2.97,4.21,,0,,,"0.00"
"AHG",3.9,,,"3/17/2016",0,0,"2017-02-03",3.88,3.92,3.9,5,3.52,1200000000,,"ASX",656057,0.29,0.31,2.27,221520000,0.21,1.72,13.27,4.09,12.58,11.82,"0.00"
"AHL",0.076,,,,-0.004,-0.052629999999999996,"2017-02-03",0.072,0.074,0.072,0.58,0.051,11530000,,"ASX",14410,-0.095,-0.01,0.026,-13920000,2.296,2.923,,0,,,"0.000"
"AHQ",0.034,,,,0,0,"2017-02-03",0.034,0.034,0.034,0.175,0.008,1200000,,"ASX",33333,-0.092,,-0.011,"-238293.00",17.681,,,0,,,"0.000"
"AHX",1.1,,,,0,0,"2017-02-03",1.1,1.1,1.1,1.88,1.05,108320000,,"ASX",2500,0,0.06,0.46,4150000.0000000005,2,2.37,1100,0,18.33,13.75,"0.00"
"AHY",1.43,,,"3/1/2016",0.005,0.0034999999999999996,"2017-02-03",1.42,1.46,1.435,2.33,1.235,803800000,,"ASX",1418195,0.117,0.11,0.556,134650000,1.315,2.572,12.265,-13.73,13.045,11.958,"0.000"
"AHZ",0.34,,,,-0.005,-0.01471,"2017-02-03",0.335,0.345,0.335,0.68,0.28,65750000,,"ASX",305490,-0.126,-0.05,0.106,-27810000,4.715,3.208,,15.87,,,"0.000"
"AIA",6.56,,,"9/28/2016",0.05,0.0076,"2017-02-03",6.51,6.61,6.61,7.59,5.03,7870000000,,"ASX",16261,0.16,0.2,2.37,311660000,18.95,2.77,41.31,2.97,33.05,30.05,"0.00"
"AIK",0.175,,,"5/4/2007",0,0,"2017-02-03",0.175,0.175,0.175,0.19,0.096,,,"ASX",3333002,0.03,,0,"0.00",,,,0,,,"0.000"
"AIS",0.05,,,,0,0.0204,"2017-02-03",0.05,0.05,0.05,0.07,0.03,7010000,,"ASX",327800,0.17,,0.01,23640000,0.04,4.45,0.29,0,,,"0.00"
"AIZ",2.04,,,"9/8/2016",0.01,0.0049,"2017-02-03",2.02,2.05,2.05,2.95,1.61,2300000000,,"ASX",42242,0.3,0.3,1.37,842590000,0.6,1.49,6.9,1.18,6.83,7.59,"0.00"
"AJA",6.4,0,0,"6/29/2016",0.04,0.0062,"2017-02-03",6.4,6.63,6.44,7.47,5.16,,,"ASX",24631,2.16,0.59,0,"0.00",,,,12.06,10.92,10.06,"0.00"
"AJC",0.007,,,,0,0,"2017-02-03",0.007,0.007,0.007,0.007,0.002,6330000,,"ASX",1000000,-0.011,,0.002,"-305687.00",36.466,3.5,,0,,,"0.000"
"AJD",1.55,,,"9/29/2016",-0.02,-0.0161,"2017-02-03",1.53,1.56,1.53,1.67,1.25,175950000,,"ASX",43072,0.28,0.11,1.42,"0.00",13.43,1.09,5.56,9.09,13.91,13.91,"0.00"
