symbol,previousClose,open,dividendYield,dividendPerShare,exDividendDate,change,changeInPercent,lastTradeDate,daysLow,daysHigh,lastTradePriceOnly,52WeekHigh,52WeekLow,marketCapitalization,sharesOwned,stockExchange,volume,earningsPerShare,epsEstimateCurrentYear,bookValue,ebitda,pricePerSales,pricePerBook,peRatio,pegRatio,pricePerEpsEstimateCurrentYear,pricePerEpsEstimateNextYear,shortRatio
CDC,0.12,0.12,,,5/30/2016,-0.01,-0.04,30/1/17,0.12,0.12,0.12,0.5,0.12,88190000,,ASX,20499,0.05,,0.22,42440000,0.91,0.58,2.5,0,,,0
CDD,1.075,1.075,0,0,9/4/15,0,0,30/1/17,1.055,1.085,1.075,1.25,0.44,514580000,,ASX,1610487,-0.792,0.03,1.164,28100000,0.43,0.924,,1.77,35.833,26.875,0
CDM,1.21,1.21,,,,-0.01,-0.0083,30/1/17,1.2,1.22,1.2,1.52,1.14,,,ASX,136967,-0.12,,0,0,,,,0,,,0
CDP,7.8,7.67,,,6/29/2016,0,0,30/1/17,7.67,7.8,7.8,9,6.86,546000000,,ASX,1148,0.7,0.39,7.93,0,9.74,0.98,11.06,4.66,20,18.57,0
CDT,0.017,0.017,,,,0,0,30/1/17,0.017,0.017,0.017,0.022,0.005,2540000,,ASX,1297445,-0.004,,-0.002,-555707,976.705,,,0,,,0
CDU,0.47,0.47,,,4/8/02,-0.01,-0.0213,30/1/17,0.46,0.47,0.46,0.75,0.41,172530000,,ASX,85200,-0.42,,0.74,-20730000,,0.64,,0,,,0
CDV,0.24,0.26,,,,0.02,0.0833,30/1/17,0.25,0.26,0.26,0.77,0.1,57740000,,ASX,318936,-0.06,,0.02,-9230000,1219.46,13.33,,0,,,0
CDY,0.03,0.03,,,,-0.002,-0.06667,30/1/17,0.028,0.03,0.028,0.041,0.016,26000000,,ASX,972717,-0.004,0,0.005,-3270000,8.316,6,,0,,,0
CEL,0.018,0.018,,,,0,0,30/1/17,0.018,0.018,0.018,0.041,0.015,6930000,,ASX,300000,-0.003,-0.07,0.012,-1050000,,1.5,,0,,,0
CFE,0.019,0.017,,,10/14/2008,-0.001,-0.05263,30/1/17,0.017,0.019,0.018,0.033,0.012,12970000,,ASX,836802,-0.047,0,0.006,-4120000,22.124,3.167,,0,,,0
