"symbol","previousClose","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio","FIRMMCRT","FXRUSD","GRCPAIAD","GRCPRCAD","GRCPNRAD","GRCPBMAD","GRCPBCAD","GRCPAISAD","GRCPBCSAD","H01_GGDPCVGDP","H01_GGDPCVGDPFY","640106_A3597525W","H05_GLFSEPTPOP","allordpreviousclose","allordchange","allorddayslow","allorddayshigh","asxpreviousclose","asxchange","asxdayslow","asxdayshigh"
"ASL",1.41,0,0,"3/18/2015",0.05,0.0355,"2017-02-06",1.41,1.46,1.46,1.75,0.18,455920000,,"ASX",172462,0.18,0.1,1.94,125300000,0.59,0.73,8.02,-0.84,14.6,12.17,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ASN",0.044,,,,-0.003,-0.06817999999999999,"2017-02-06",0.04,0.045,0.041,0.053,0.009,5010000,,"ASX",635232,-0.012,,0.011,-1210000,5376052,4,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AST",1.61,6.28,0.08,"5/19/2016",0,-0.0031,"2017-02-06",1.59,1.62,1.6,1.79,1.4,5700000000,,"ASX",4783729,0.08,0.08,0.99,1050000000,3.06,1.62,19.28,-9.23,20,20,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ASX",50.13,5.78,2.17,"3/2/2016",-0.11,-0.0022,"2017-02-06",49.79,50.64,50.02,52.41,38.4,9670000000,,"ASX",293918,2.2,2.26,19.77,706600000,10.67,2.54,22.7,5.57,22.13,21.19,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ASY",0.015,,,,0.004,0.26667,"2017-02-06",0.016,0.019,0.019,0.026,0.012,,,"ASX",1576804,-0.006,,0,"0.00",,,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ATC",0.15,,,,0,0,"2017-02-06",0.15,0.16,0.15,0.2,0.08,35320000,,"ASX",733800,-0.01,,0.04,-3240000,,4.29,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ATL",1.37,,,,-0.02,-0.0146,"2017-02-06",1.35,1.38,1.35,1.43,1.22,195700000,,"ASX",105070,0.04,0.09,0.32,38910000,1.27,4.29,31.4,0,15,13.5,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ATP",0.035,,,"6/26/2008",0.003,0.08571,"2017-02-06",0.035,0.038,0.038,0.05,0.024,15940000,,"ASX",140000,0.002,,0.062,2089999.9999999998,0.796,0.565,19,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"ATR",0.16,,,"11/24/2008",0,0,"2017-02-06",0.16,0.16,0.16,0.24,0.15,19600000,,"ASX",3410,-0.04,-0.06,0.86,-4110000.0000000005,41.87,0.19,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AU1",0.037,,,,0.001,0.02703,"2017-02-06",0.038,0.05,0.038,0.05,0.01,3340000,,"ASX",22047030,-0.011,,0.005,"-365658.00",,7.4,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AUB",10.19,,,"4/8/2016",0.16,0.015700000000000002,"2017-02-06",10.19,10.42,10.35,12,8.03,660810000,,"ASX",7933,0.67,0.63,4.61,61670000,2.78,2.21,15.56,57.82,16.43,15.45,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AUF",1.22,,,,0.01,0.008199999999999999,"2017-02-06",1.22,1.23,1.23,1.35,1.17,,,"ASX",38620,,,0,"0.00",,,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AUI",7.9,,,,0.02,0.0025,"2017-02-06",7.91,7.95,7.92,7.95,6.73,977120000,,"ASX",8496,0.35,,6.76,"0.00",20.15,1.17,22.5,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AVB",0.093,,,,0.001,0.01075,"2017-02-06",0.092,0.094,0.094,0.1,0.048,230950000,,"ASX",2446063,-0.001,0,0.035,2430000,17.02,2.657,,0,,9.4,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AVD",0.02,,,,-0.001,-0.05,"2017-02-06",0.019,0.019,0.019,0.034,0.013,3380000,,"ASX",100000,-0.024,,0.025,"-954559.00",171.683,0.8,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AVG",0.51,,,"10/29/2014",0,0,"2017-02-06",0.51,0.52,0.51,0.66,0.37,118450000,,"ASX",33694,-0.01,0.02,1.26,17690000,0.49,0.41,,0,25.5,12.75,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AVH",0.12,,,,0,0,"2017-02-06",0.12,0.12,0.12,0.15,0.09,63930000,,"ASX",110692,-0.02,-0.03,0.01,-11270000,63.8,9.23,,0,,12,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AVI",0.019,,,,-0.001,-0.052629999999999996,"2017-02-06",0.018,0.019,0.018,0.057,0.001,6900000,,"ASX",326000,-0.01,0,0.105,-1550000,460.05,0.181,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AVJ",0.6,0,0,"9/8/2016",-0.02,-0.0252,"2017-02-06",0.58,0.59,0.58,0.73,0.5,221610000,,"ASX",441318,0.11,0.11,0.95,56500000,0.54,0.62,5.42,-3.72,5.27,5.8,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AVL",0.017,,,,0,0,"2017-02-06",0.017,0.018,0.017,0.028,0.007,18310000,,"ASX",8244370,-0.001,,0.018,-1270000,63.149,0.944,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AVN",2.32,,,"9/29/2016",-0.03,-0.0129,"2017-02-06",2.26,2.33,2.29,2.55,1.98,,,"ASX",200568,0.19,0.18,0,"0.00",,,,0.74,12.72,12.72,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AVQ",0.17,,,,0,-0.0286,"2017-02-06",0.17,0.17,0.17,0.39,0.12,57360000,,"ASX",613650,-0.07,-0.01,0.02,-9640000,3280.38,8.33,,0,,8.5,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AVZ",0.03,,,,-0.001,-0.03333,"2017-02-06",0.027,0.031,0.029,0.035,0.007,16270000,,"ASX",23637191,-0.001,,0.004,"-416406.00",443.748,7.5,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AWC",1.89,5.12,0.07,"8/30/2016",0.01,0.0079,"2017-02-06",1.89,1.95,1.91,2.04,1.01,5500000000,,"ASX",15061169,-0.01,0.04,0.72,"0.00",18190.83,2.62,,1.54,47.75,19.1,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
