"symbol","previousClose","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio","FIRMMCRT","FXRUSD","GRCPAIAD","GRCPRCAD","GRCPNRAD","GRCPBMAD","GRCPBCAD","GRCPAISAD","GRCPBCSAD","H01_GGDPCVGDP","H01_GGDPCVGDPFY","640106_A3597525W","H05_GLFSEPTPOP","allordpreviousclose","allordchange","allorddayslow","allorddayshigh","asxpreviousclose","asxchange","asxdayslow","asxdayshigh"
"AWE",0.59,,,"12/3/2008",-0.01,-0.0169,"2017-02-06",0.58,0.59,0.58,0.95,0.36,305510000,,"ASX",997468,-0.69,-0.02,0.83,4980000,2.14,0.71,,0.04,,58,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AWQ",0.95,,,,-0.05,-0.0526,"2017-02-06",0.9,0.92,0.9,1.06,0.87,,,"ASX",76000,,,0,"0.00",,,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AWV",0.12,,,,-0.01,-0.04,"2017-02-06",0.12,0.12,0.12,0.19,0.04,43460000,,"ASX",331481,-0.01,,0.03,-2200000,2787.52,3.68,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AXE",0.07,,,,0.001,0.01429,"2017-02-06",0.071,0.071,0.071,0.115,0.058,7820000,,"ASX",2711,-0.015,,0.141,-1250000,119.529,0.496,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AXI",0.049,,,,0,0,"2017-02-06",0.049,0.049,0.049,0.058,0.041,20600000,,"ASX",28800,0.001,,0.052,"-836000.00",4.213,0.942,49,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AXL",1.4,,,,-0.03,-0.021400000000000002,"2017-02-06",1.35,1.37,1.37,1.37,1.07,37810000,,"ASX",6577,0.06,,0.24,"0.00",7.31,5.81,23.22,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AXP",1.01,,,,-0.06,-0.0594,"2017-02-06",0.93,1,0.95,1.49,0.78,225720000,,"ASX",364428,-0.06,-0.05,0.09,-14960000,519.37,10.63,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AYF",6.07,,,"3/27/2015",-0.03,-0.0049,"2017-02-06",6.03,6.09,6.04,6.2,5.6,,,"ASX",12134,,,0,"0.00",,,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AYR",0.009,,,,0,0,"2017-02-06",0.009,0.009,0.009,0.018,0.005,6410000,,"ASX",12740923,-0.001,,0.005,"-351880.00",,1.8,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"AYS",1.9,,,"3/23/2016",0.01,0.0053,"2017-02-06",1.91,1.95,1.91,3.21,1.3,344310000,,"ASX",253937,0.07,0.15,0.18,32860000,1.35,10.61,28.94,0.39,12.73,11.24,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
