"symbol","previousClose","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio","FIRMMCRT","FXRUSD","GRCPAIAD","GRCPRCAD","GRCPNRAD","GRCPBMAD","GRCPBCAD","GRCPAISAD","GRCPBCSAD","H01_GGDPCVGDP","H01_GGDPCVGDPFY","640106_A3597525W","H05_GLFSEPTPOP","allordpreviousclose","allordchange","allorddayslow","allorddayshigh","asxpreviousclose","asxchange","asxdayslow","asxdayshigh","EPS","PriceToBook","MarketCap","PE","DividendRecentQuarter","DividendNextQuarter","DPSRecentYear","IAD","DividendPerShare","DividendYield","Dividend","BookValuePerShareYear","CashPerShareYear","CurrentRatioYear","LTDebtToAssetsYear","LTDebtToAssetsQuarter","TotalDebtToAssetsYear","TotalDebtToAssetsQuarter","LTDebtToEquityYear","LTDebtToEquityQuarter","TotalDebtToEquityYear","TotalDebtToEquityQuarter","AINTCOV","ReturnOnInvestmentTTM","ReturnOnInvestment5Years","ReturnOnInvestmentYear","ReturnOnAssetsTTM","ReturnOnAssets5Years","ReturnOnAssetsYear","ReturnOnEquityTTM","ReturnOnEquity5Years","ReturnOnEquityYear","Beta","Float","GrossMargin","EBITDMargin","OperatingMargin","NetProfitMarginPercent","NetIncomeGrowthRate5Years","RevenueGrowthRate5Years","RevenueGrowthRate10Years","EPSGrowthRate5Years","EPSGrowthRate10Years"
"TAP",0.09,,,,0,0,"2017-02-07",0.09,0.09,0.09,0.11,0.05,28390000,,"ASX",430837,-0.15,-0.01,0.16,58630000,0.38,0.55,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TAS",0.25,,,,0,0.0196,"2017-02-07",0.25,0.26,0.26,0.28,0.05,98670000,,"ASX",782590,-0.01,,0.06,-4210000,79.1,3.92,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TAW",0.115,,,,0,0,"2017-02-07",0.115,0.12,0.115,0.17,0.001,16970000,,"ASX",720022,-0.122,,0.007,-1360000,664.345,16.429,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TBH",0.23,,,,-0.025,-0.10869999999999999,"2017-02-07",0.205,0.23,0.205,0.285,0.1,19750000,,"ASX",563281,-0.056,,0.087,-4650000,7.683,2.644,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TBR",6.6,,,,0.12,0.0182,"2017-02-07",6.7,6.72,6.72,8.1,3.34,336020000,,"ASX",12006,0.61,,3.15,74800000,2.79,2.1,10.94,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TCH",1.08,,,,-0.03,-0.0278,"2017-02-07",1.04,1.07,1.05,2.66,0.96,121760000,,"ASX",193577,0.16,0.01,0.47,20230000,2.72,2.29,6.69,0,105,26.25,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TCL",10.38,4.85,0.38,"12/29/2016",0.66,0.0636,"2017-02-07",10.49,11.1,11.04,12.65,9.45,22480000000,,"ASX",10058711,0.05,0.17,2.47,1380000000,9.56,4.2,220.8,0.72,64.94,52.57,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TDL",0.17,,,,0.01,0.0286,"2017-02-07",0.18,0.18,0.18,0.3,0.14,39170000,,"ASX",52035,-0.07,,0.11,-2480000,11.63,1.64,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TEK",0.23,,,,0.015,0.06522,"2017-02-07",0.235,0.245,0.245,0.265,0.22,47420000000,,"ASX",320000,-49,,-0.672,"692211.00",,,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TEN",0.86,,,"11/9/2011",-0.01,-0.0116,"2017-02-07",0.85,0.86,0.85,1.48,0.85,307160000,,"ASX",104423,-0.47,-0.01,1.06,2170000,0.45,0.81,,1.43,,85,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TER",0.034,,,,-0.001,-0.02941,"2017-02-07",0.031,0.034,0.033,0.047,0.002,85190000,,"ASX",3568245,-0.031,,-0.009,-18780000,8.864,,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TFC",1.545,2.56,0.03,"10/7/2016",-0.01,-0.00647,"2017-02-07",1.53,1.56,1.535,1.845,1.085,595720000,,"ASX",291397,0.07,0.07,1.907,70940000,3.315,0.81,21.929,-1.55,21.929,21.929,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TFG",0.245,,,,0,0,"2017-02-07",0.245,0.25,0.245,0.38,0.17,29530000,,"ASX",5750,-0.022,0,0.152,"-810423.00",3.734,1.612,,0,,24.5,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TFL",0.16,,,,0,0,"2017-02-07",0.16,0.16,0.16,0.36,0.16,26260000,,"ASX",111425,-0.08,,0.22,-2160000,9.72,0.73,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TGA",1.63,,,"1/4/2017",-0.03,-0.0184,"2017-02-07",1.56,1.62,1.6,1.96,1.26,248520000,,"ASX",574049,0.13,0.2,1.33,65530000,0.82,1.23,12.5,2.68,8,7.62,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
