"symbol","previousClose","open","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio"
"AVG",0.52,0.51,,,"10/29/2014",-0.01,-0.0286,"2017-02-02",0.51,0.51,0.51,0.66,0.37,118450000,,"ASX",4107,-0.01,0.02,1.26,17690000,0.5,0.42,,0,25.5,12.75,"0.00"
"AVH",0.11,0.115,,,,0.005,0.04545,"2017-02-02",0.115,0.115,0.115,0.153,0.088,61270000,,"ASX",600000,-0.016,-0.03,0.013,-11270000,58.485,8.462,,0,,11.5,"0.000"
"AVI",0.018,0.019,,,,0.001,0.05556,"2017-02-02",0.019,0.019,0.019,0.057,0.001,7280000,,"ASX",100000,-0.01,0,0.105,-1550000,435.837,0.171,,0,,,"0.000"
"AVJ",0.615,0.61,0,0,"9/8/2016",-0.01,-0.01626,"2017-02-02",0.605,0.615,0.605,0.725,0.5,231160000,,"ASX",63719,0.107,0.11,0.952,56500000,0.557,0.646,5.654,-3.68,5.5,6.05,"0.000"
"AVL",0.019,0.019,,,,-0.001,-0.052629999999999996,"2017-02-02",0.018,0.019,0.018,0.028,0.007,19390000,,"ASX",10757640,-0.001,,0.018,-1270000,70.578,1.056,,0,,,"0.000"
"AVN",2.3,2.33,,,"9/29/2016",0.01,0.0043,"2017-02-02",2.29,2.34,2.31,2.55,1.98,,,"ASX",641232,0.19,0.18,0,"0.00",,,,0.74,12.83,12.83,"0.00"
"AVQ",0.16,0.16,,,,0.05,0.35479999999999995,"2017-02-02",0.16,0.21,0.21,0.39,0.12,70850000,,"ASX",2425128,-0.07,-0.01,0.02,-9640000,2905.48,7.38,,0,,10.5,"0.00"
"AVZ",0.019,0.03,,,,0.013,0.6842100000000001,"2017-02-02",0.026,0.035,0.032,0.035,0.007,17950000,,"ASX",283719796,-0.001,,0.004,"-416406.00",281.041,4.75,,0,,,"0.000"
"AWC",1.94,1.94,5.12,0.07,"8/30/2016",0.01,0.0052,"2017-02-02",1.92,1.95,1.95,2.04,0.98,5620000000,,"ASX",9931776,-0.01,0.04,0.72,"0.00",18622.8,2.68,,1.55,48.75,21.67,"0.00"
"AWE",0.56,0.57,,,"12/3/2008",0.01,0.0265,"2017-02-02",0.56,0.58,0.58,0.95,0.36,305510000,,"ASX",1245090,-0.69,-0.02,0.83,4980000,2.05,0.68,,-0.04,,58,"0.00"
"AWN",0.51,0.51,,,"9/6/2016",-0.01,-0.0196,"2017-02-02",0.5,0.51,0.5,0.85,0.38,79090000,,"ASX",65224,-0.19,,0.61,-6370000,15.07,0.84,,0,,,"0.00"
