symbol,previousClose,open,dividendYield,dividendPerShare,exDividendDate,change,changeInPercent,lastTradeDate,daysLow,daysHigh,lastTradePriceOnly,52WeekHigh,52WeekLow,marketCapitalization,sharesOwned,stockExchange,volume,earningsPerShare,epsEstimateCurrentYear,bookValue,ebitda,pricePerSales,pricePerBook,peRatio,pegRatio,pricePerEpsEstimateCurrentYear,pricePerEpsEstimateNextYear,shortRatio,tickerTrend
WDE,0.84,0.84,,,,-0.005,-0.00595,1/2/17,0.835,0.85,0.835,0.855,0.72,1.0546E+11,,ASX,65567,,,0,0,,,,0,,,0,
WEB,11.28,11.28,0,0,9/21/2016,0.09,0.008,1/2/17,11.25,11.4,11.37,12.2,4.44,1040000000,,ASX,390515,0.27,0.39,1.65,33500000,6.69,6.82,42.27,1.01,29.15,23.69,0,
WEC,0.047,0.047,,,,0,0,1/2/17,0.047,0.047,0.047,0.18,0.047,15430000,,ASX,80000,-0.173,-0.04,0.159,-22960000,0.544,0.296,,0,,,0,
WEL,0.092,0.089,,,,0,0,1/2/17,0.089,0.092,0.092,0.11,0.05,19820000,,ASX,150000,-0.006,,0.091,-421826,16.885,1.011,,0,,,0,
WES,40.26,40.13,6.57,2.02,8/29/2016,0.6,0.0149,1/2/17,40.13,40.86,40.86,46.06,38.62,46010000000,,ASX,2175518,0.36,2.52,20.38,4340000000,0.69,1.98,112.87,1.77,16.21,15.6,0,
WFD,8.79,8.82,3.74,0.25,8/11/16,0.09,0.0102,1/2/17,8.78,8.88,8.88,11.14,8.21,18450000000,,ASX,3706751,1.12,0.33,4.43,0,15.39,1.98,7.94,7.23,26.91,26.12,0,
WFE,0.005,0.005,,,,0,0,1/2/17,0.004,0.005,0.005,0.008,0.001,4120000,,ASX,9536901,-0.006,,0.008,-519573,616.815,0.625,,0,,,0,
WGF,1.04,1.04,,,,0.01,0.0096,1/2/17,1.04,1.05,1.05,1.09,1.04,,,ASX,93811,,,0,0,,,,0,,,0,
WGL,0.025,0.025,,,,0,0,1/2/17,0.023,0.025,0.025,0.057,0.02,17990000,,ASX,4421614,-0.014,,0.006,-1500000,333.357,4.167,,0,,,0,
WGX,1.99,2.02,,,,0.03,0.0176,1/2/17,2,2.03,2.02,2.06,2,842700000,,ASX,1095323,-0.05,,0.25,0,2.95,7.94,,0,,,0,
WHC,2.84,2.89,0,0,9/11/12,0.07,0.0246,1/2/17,2.86,2.93,2.91,3.35,0.35,2890000000,,ASX,5057972,0.02,0.44,2.91,557440000,2.4,0.98,138.57,0.04,6.61,8.82,0,
WHF,4.32,4.35,,,,0.04,0.0093,1/2/17,4.35,4.36,4.36,4.44,3.96,,,ASX,12790,0.17,,0,0,,,,0,,,0,
WIC,1.02,1.005,,,,-0.015,-0.01471,1/2/17,0.98,1.005,1.005,1.055,0.715,,,ASX,68000,0.001,,0,0,,,,0,,,0,
WKT,0.096,0.095,,,,-0.001,-0.01042,1/2/17,0.095,0.095,0.095,0.207,0.003,8270000,,ASX,52501,-0.034,,0.125,-684265,2170.139,0.768,,0,,,0,
WLD,0.21,0.2,,,,-0.005,-0.02381,1/2/17,0.2,0.21,0.205,1.375,0.19,82000000,,ASX,250337,-0.064,0.01,0.472,39450000,0.146,0.445,,1.2,20.5,4.1,0,
WLE,1.15,1.15,,,,0.01,0.0087,1/2/17,1.15,1.16,1.16,1.17,1.06,4.1743E+11,,ASX,169253,,,0,0,,,,0,,,0,
WLL,5.3,5.25,,,9/1/16,-0.09,-0.017,1/2/17,5.21,5.25,5.21,5.52,4.25,204180000,,ASX,9000,0.28,0.32,1.67,18490000,1.33,3.17,18.41,2.11,16.28,14.89,0,
WMK,1.05,1.05,,,10/4/16,0.005,0.00476,1/2/17,1.05,1.055,1.055,1.08,0.99,,,ASX,5000,0.125,,0,0,,,,0,,,0,
